"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"DE","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.535","","01/01/2015","12/31/2015"
"FL","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.581","","01/01/2015","12/31/2015"
"GA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.750","","01/01/2015","12/31/2015"
"GU","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","2.842","","01/01/2015","12/31/2015"
"HI","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.222","","01/01/2015","12/31/2015"
"IA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.693","","01/01/2015","12/31/2015"
"ID","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.559","","01/01/2015","12/31/2015"
"IL","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.583","","01/01/2015","12/31/2015"
"IN","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.729","","01/01/2015","12/31/2015"
"KS","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.591","","01/01/2015","12/31/2015"
"KY","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.726","","01/01/2015","12/31/2015"
"LA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.937","","01/01/2015","12/31/2015"
"MA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.501","","01/01/2015","12/31/2015"
"MD","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.650","","01/01/2015","12/31/2015"
"ME","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.738","","01/01/2015","12/31/2015"
"MI","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.567","","01/01/2015","12/31/2015"
"MN","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.551","","01/01/2015","12/31/2015"
"MO","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.593","","01/01/2015","12/31/2015"
"MP","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"MS","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.802","","01/01/2015","12/31/2015"
"MT","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.738","","01/01/2015","12/31/2015"
"NC","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.592","","01/01/2015","12/31/2015"
"ND","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.673","","01/01/2015","12/31/2015"
"NE","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.887","","01/01/2015","12/31/2015"
"NH","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.885","","01/01/2015","12/31/2015"
"NJ","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.640","","01/01/2015","12/31/2015"
"NM","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.740","","01/01/2015","12/31/2015"
"NV","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.523","","01/01/2015","12/31/2015"
"NY","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.554","","01/01/2015","12/31/2015"
"OH","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.491","","01/01/2015","12/31/2015"
"OK","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.619","","01/01/2015","12/31/2015"
"OR","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.512","","01/01/2015","12/31/2015"
"PA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.627","","01/01/2015","12/31/2015"
"PR","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.539","","01/01/2015","12/31/2015"
"RI","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.851","","01/01/2015","12/31/2015"
"SC","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.710","","01/01/2015","12/31/2015"
"SD","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.617","","01/01/2015","12/31/2015"
"TN","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.565","","01/01/2015","12/31/2015"
"TX","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.533","","01/01/2015","12/31/2015"
"UT","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.584","","01/01/2015","12/31/2015"
"VA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.572","","01/01/2015","12/31/2015"
"VI","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","7.032","","01/01/2015","12/31/2015"
"VT","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.951","","01/01/2015","12/31/2015"
"WA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.525","","01/01/2015","12/31/2015"
"WI","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.487","","01/01/2015","12/31/2015"
"WV","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.505","","01/01/2015","12/31/2015"
"WY","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.756","","01/01/2015","12/31/2015"
"AK","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.374","","01/01/2015","12/31/2015"
"AL","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.668","","01/01/2015","12/31/2015"
"AR","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.514","","01/01/2015","12/31/2015"
"AS","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"AZ","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.430","","01/01/2015","12/31/2015"
"CA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.504","","01/01/2015","12/31/2015"
"CO","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.435","","01/01/2015","12/31/2015"
"CT","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.479","","01/01/2015","12/31/2015"
"DC","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.420","","01/01/2015","12/31/2015"
"DE","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.211","","01/01/2015","12/31/2015"
"FL","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.509","","01/01/2015","12/31/2015"
"GA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.625","","01/01/2015","12/31/2015"
"GU","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","-","","01/01/2015","12/31/2015"
"HI","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.043","","01/01/2015","12/31/2015"
"IA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.453","","01/01/2015","12/31/2015"
"ID","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.246","","01/01/2015","12/31/2015"
"IL","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.477","","01/01/2015","12/31/2015"
"IN","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.583","","01/01/2015","12/31/2015"
"KS","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.379","","01/01/2015","12/31/2015"
"KY","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.561","","01/01/2015","12/31/2015"
"LA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.755","","01/01/2015","12/31/2015"
"MA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.379","","01/01/2015","12/31/2015"
"MD","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.490","","01/01/2015","12/31/2015"
"ME","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.312","","01/01/2015","12/31/2015"
"MI","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.464","","01/01/2015","12/31/2015"
"MN","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.379","","01/01/2015","12/31/2015"
"MO","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.465","","01/01/2015","12/31/2015"
"MP","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"MS","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.582","","01/01/2015","12/31/2015"
"MT","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.246","","01/01/2015","12/31/2015"
"NC","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.481","","01/01/2015","12/31/2015"
"ND","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.315","","01/01/2015","12/31/2015"
"NE","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.553","","01/01/2015","12/31/2015"
"NH","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.436","","01/01/2015","12/31/2015"
"NJ","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.511","","01/01/2015","12/31/2015"
"NM","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.451","","01/01/2015","12/31/2015"
"NV","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.370","","01/01/2015","12/31/2015"
"NY","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.475","","01/01/2015","12/31/2015"
"OH","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.400","","01/01/2015","12/31/2015"
"OK","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.460","","01/01/2015","12/31/2015"
"OR","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.312","","01/01/2015","12/31/2015"
"PA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.536","","01/01/2015","12/31/2015"
"PR","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.187","","01/01/2015","12/31/2015"
"RI","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.442","","01/01/2015","12/31/2015"
"SC","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.538","","01/01/2015","12/31/2015"
"SD","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.222","","01/01/2015","12/31/2015"
"TN","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.453","","01/01/2015","12/31/2015"
"TX","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.468","","01/01/2015","12/31/2015"
"UT","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.356","","01/01/2015","12/31/2015"
"VA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.443","","01/01/2015","12/31/2015"
"VI","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","1.162","","01/01/2015","12/31/2015"
"VT","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.288","","01/01/2015","12/31/2015"
"WA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.378","","01/01/2015","12/31/2015"
"WI","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.336","","01/01/2015","12/31/2015"
"WV","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.317","","01/01/2015","12/31/2015"
"WY","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.038","","01/01/2015","12/31/2015"
"AK","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.694","","01/01/2015","12/31/2015"
"AL","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.481","","01/01/2015","12/31/2015"
"AR","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.622","","01/01/2015","12/31/2015"
"AS","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"AZ","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.527","","01/01/2015","12/31/2015"
"CA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.650","","01/01/2015","12/31/2015"
"CO","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.544","","01/01/2015","12/31/2015"
"CT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.615","","01/01/2015","12/31/2015"
"DC","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.780","","01/01/2015","12/31/2015"
"DE","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.550","","01/01/2015","12/31/2015"
"FL","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.528","","01/01/2015","12/31/2015"
"GA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.664","","01/01/2015","12/31/2015"
"GU","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","5 - Results are not available for this reporting period.","01/01/2015","12/31/2015"
"HI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.421","","01/01/2015","12/31/2015"
"IA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.582","","01/01/2015","12/31/2015"
"ID","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.453","","01/01/2015","12/31/2015"
"IL","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.524","","01/01/2015","12/31/2015"
"IN","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.554","","01/01/2015","12/31/2015"
"KS","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.533","","01/01/2015","12/31/2015"
"KY","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.525","","01/01/2015","12/31/2015"
"LA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.604","","01/01/2015","12/31/2015"
"MA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.674","","01/01/2015","12/31/2015"
"MD","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.608","","01/01/2015","12/31/2015"
"ME","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.598","","01/01/2015","12/31/2015"
"MI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.632","","01/01/2015","12/31/2015"
"MN","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.619","","01/01/2015","12/31/2015"
"MO","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.552","","01/01/2015","12/31/2015"
"MP","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"MS","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.480","","01/01/2015","12/31/2015"
"MT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.609","","01/01/2015","12/31/2015"
"NC","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.555","","01/01/2015","12/31/2015"
"ND","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.536","","01/01/2015","12/31/2015"
"NE","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.576","","01/01/2015","12/31/2015"
"NH","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.464","","01/01/2015","12/31/2015"
"NJ","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.696","","01/01/2015","12/31/2015"
"NM","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.589","","01/01/2015","12/31/2015"
"NV","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.421","","01/01/2015","12/31/2015"
"NY","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.690","","01/01/2015","12/31/2015"
"OH","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.503","","01/01/2015","12/31/2015"
"OK","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.546","","01/01/2015","12/31/2015"
"OR","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.549","","01/01/2015","12/31/2015"
"PA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.633","","01/01/2015","12/31/2015"
"PR","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.284","","01/01/2015","12/31/2015"
"RI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.714","","01/01/2015","12/31/2015"
"SC","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.671","","01/01/2015","12/31/2015"
"SD","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.580","","01/01/2015","12/31/2015"
"TN","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.527","","01/01/2015","12/31/2015"
"TX","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.502","","01/01/2015","12/31/2015"
"UT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.866","","01/01/2015","12/31/2015"
"VA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.588","","01/01/2015","12/31/2015"
"VI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.720","","01/01/2015","12/31/2015"
"VT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.526","","01/01/2015","12/31/2015"
"WA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.603","","01/01/2015","12/31/2015"
"WI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.493","","01/01/2015","12/31/2015"
"WV","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.422","","01/01/2015","12/31/2015"
"WY","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.137","","01/01/2015","12/31/2015"
"AK","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.996","","01/01/2015","12/31/2015"
"AL","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.527","","01/01/2015","12/31/2015"
"AR","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.697","","01/01/2015","12/31/2015"
"AS","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"AZ","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.585","","01/01/2015","12/31/2015"
"CA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.676","","01/01/2015","12/31/2015"
"CO","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.613","","01/01/2015","12/31/2015"
"CT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.694","","01/01/2015","12/31/2015"
"DC","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.925","","01/01/2015","12/31/2015"
"DE","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.726","","01/01/2015","12/31/2015"
"FL","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.555","","01/01/2015","12/31/2015"
"GA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.710","","01/01/2015","12/31/2015"
"GU","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.432","","01/01/2015","12/31/2015"
"HI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.545","","01/01/2015","12/31/2015"
"IA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.671","","01/01/2015","12/31/2015"
"ID","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.570","","01/01/2015","12/31/2015"
"IL","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.563","","01/01/2015","12/31/2015"
"IN","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.608","","01/01/2015","12/31/2015"
"KS","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.617","","01/01/2015","12/31/2015"
"KY","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.583","","01/01/2015","12/31/2015"
"LA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.660","","01/01/2015","12/31/2015"
"MA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.727","","01/01/2015","12/31/2015"
"MD","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.672","","01/01/2015","12/31/2015"
"ME","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.750","","01/01/2015","12/31/2015"
"MI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.677","","01/01/2015","12/31/2015"
"MN","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.692","","01/01/2015","12/31/2015"
"MO","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.603","","01/01/2015","12/31/2015"
"MP","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"MS","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.545","","01/01/2015","12/31/2015"
"MT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.800","","01/01/2015","12/31/2015"
"NC","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.599","","01/01/2015","12/31/2015"
"ND","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.695","","01/01/2015","12/31/2015"
"NE","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.689","","01/01/2015","12/31/2015"
"NH","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.586","","01/01/2015","12/31/2015"
"NJ","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.750","","01/01/2015","12/31/2015"
"NM","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.698","","01/01/2015","12/31/2015"
"NV","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.489","","01/01/2015","12/31/2015"
"NY","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.721","","01/01/2015","12/31/2015"
"OH","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.537","","01/01/2015","12/31/2015"
"OK","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.608","","01/01/2015","12/31/2015"
"OR","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.633","","01/01/2015","12/31/2015"
"PA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.669","","01/01/2015","12/31/2015"
"PR","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.371","","01/01/2015","12/31/2015"
"RI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.886","","01/01/2015","12/31/2015"
"SC","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.739","","01/01/2015","12/31/2015"
"SD","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.763","","01/01/2015","12/31/2015"
"TN","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.570","","01/01/2015","12/31/2015"
"TX","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.528","","01/01/2015","12/31/2015"
"UT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.000","","01/01/2015","12/31/2015"
"VA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.640","","01/01/2015","12/31/2015"
"VI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","2.817","","01/01/2015","12/31/2015"
"VT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.745","","01/01/2015","12/31/2015"
"WA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.667","","01/01/2015","12/31/2015"
"WI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.551","","01/01/2015","12/31/2015"
"WV","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.493","","01/01/2015","12/31/2015"
"WY","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.304","","01/01/2015","12/31/2015"
"AK","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.467","","01/01/2015","12/31/2015"
"AL","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.437","","01/01/2015","12/31/2015"
"AR","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.553","","01/01/2015","12/31/2015"
"AS","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"AZ","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.473","","01/01/2015","12/31/2015"
"CA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.625","","01/01/2015","12/31/2015"
"CO","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.482","","01/01/2015","12/31/2015"
"CT","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.542","","01/01/2015","12/31/2015"
"DC","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.653","","01/01/2015","12/31/2015"
"DE","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.409","","01/01/2015","12/31/2015"
"FL","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.502","","01/01/2015","12/31/2015"
"GA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.620","","01/01/2015","12/31/2015"
"GU","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","-","","01/01/2015","12/31/2015"
"HI","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.319","","01/01/2015","12/31/2015"
"IA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.502","","01/01/2015","12/31/2015"
"ID","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.355","","01/01/2015","12/31/2015"
"IL","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.488","","01/01/2015","12/31/2015"
"IN","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.504","","01/01/2015","12/31/2015"
"KS","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.458","","01/01/2015","12/31/2015"
"KY","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.472","","01/01/2015","12/31/2015"
"LA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.552","","01/01/2015","12/31/2015"
"MA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.623","","01/01/2015","12/31/2015"
"MD","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.549","","01/01/2015","12/31/2015"
"ME","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.470","","01/01/2015","12/31/2015"
"MI","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.590","","01/01/2015","12/31/2015"
