Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1_Performance_Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score
"100213","BLAKE MEDICAL CENTER","2020 59TH ST W","Bradenton","FL","34209","MANATEE","0.854429","5 out of 10","4 out of 9","5 out of 10","0.886245","3 out of 10","1 out of 9","3 out of 10","0.862033","0 out of 10","0 out of 9","0 out of 10","0.540865","5 out of 10","0 out of 9","5 out of 10","0.727","0 out of 10","0 out of 9","0 out of 10","0.286","6 out of 10","4 out of 9","6 out of 10","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"100217","SEBASTIAN RIVER MEDICAL CENTER","13695 US HWY 1","Sebastian","FL","32978","INDIAN RIVER","0.861021","9 out of 10","7 out of 9","9 out of 10","0.872419","0 out of 10","0 out of 9","0 out of 10","0.906826","10 out of 10","9 out of 9","10 out of 10","0.508683","6 out of 10","1 out of 9","6 out of 10","0.314","3 out of 10","7 out of 9","7 out of 10","0.265","7 out of 10","8 out of 9","8 out of 10","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"100223","FORT WALTON BEACH MEDICAL CENTER","1000 MAR-WALT DR","Ft Walton Beach","FL","32547","OKALOOSA","0.863544","10 out of 10","9 out of 9","10 out of 10","0.878438","0 out of 10","0 out of 9","0 out of 10","0.877976","0 out of 10","0 out of 9","0 out of 10","0.384887","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","7 out of 10","0.390","4 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"100224","UNIVERSITY HOSPITAL AND MEDICAL CENTER","7201 N UNIVERSITY DR","Tamarac","FL","33321","BROWARD","0.878864","10 out of 10","9 out of 9","10 out of 10","0.890922","5 out of 10","6 out of 9","6 out of 10","0.885502","2 out of 10","0 out of 9","2 out of 10","0.316969","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.253","7 out of 10","3 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100226","ORANGE PARK MEDICAL CENTER","2001 KINGSLEY AVE","Orange Park","FL","32073","CLAY","0.852218","3 out of 10","7 out of 9","7 out of 10","0.887256","3 out of 10","6 out of 9","6 out of 10","0.884299","1 out of 10","2 out of 9","2 out of 10","0.407046","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.395","5 out of 10","8 out of 9","8 out of 10","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"100228","WESTSIDE REGIONAL MEDICAL CENTER","8201 W BROWARD BLVD","Plantation","FL","33324","BROWARD","0.864972","10 out of 10","9 out of 9","10 out of 10","0.890335","5 out of 10","6 out of 9","6 out of 10","0.903932","9 out of 10","9 out of 9","9 out of 10","0.374636","10 out of 10","9 out of 9","10 out of 10","0.531","0 out of 10","5 out of 9","5 out of 10","0.464","4 out of 10","2 out of 9","4 out of 10","0 out of 10","2.126","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"100230","MEMORIAL HOSPITAL PEMBROKE","7800 SHERIDAN ST","Pembroke Pines","FL","33024","BROWARD","0.867652","Not Available","Not Available","Not Available","0.887878","4 out of 10","1 out of 9","4 out of 10","0.895828","6 out of 10","6 out of 9","6 out of 10","0.411723","10 out of 10","9 out of 9","10 out of 10","0.330","3 out of 10","0 out of 9","3 out of 10","0.700","2 out of 10","4 out of 9","4 out of 10","0 out of 10","0.743","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"100231","WEST FLORIDA HOSPITAL","8383 N DAVIS HWY","Pensacola","FL","32514","ESCAMBIA","0.857210","6 out of 10","7 out of 9","7 out of 10","0.893267","6 out of 10","8 out of 9","8 out of 10","0.882140","0 out of 10","0 out of 9","0 out of 10","0.356264","10 out of 10","9 out of 9","10 out of 10","0.530","0 out of 10","3 out of 9","3 out of 10","0.420","5 out of 10","3 out of 9","5 out of 10","0 out of 10","1.238","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"100232","PUTNAM COMMUNITY MEDICAL CENTER","611 ZEAGLER DR","Palatka","FL","32177","PUTNAM","0.857616","7 out of 10","Not Available","7 out of 10","0.877631","0 out of 10","3 out of 9","3 out of 10","0.885012","1 out of 10","6 out of 9","6 out of 10","0.456732","9 out of 10","9 out of 9","9 out of 10","0.733","0 out of 10","4 out of 9","4 out of 10","2.575","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100234","WEST PALM HOSPITAL","2201 45TH ST","West Palm Beach","FL","33407","PALM BEACH","0.859903","Not Available","Not Available","Not Available","0.877909","0 out of 10","0 out of 9","0 out of 10","0.892756","5 out of 10","4 out of 9","5 out of 10","0.483626","8 out of 10","8 out of 9","8 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","1.723","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2.745","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"100236","FAWCETT MEMORIAL HOSPITAL","21298 OLEAN BLVD","Port Charlotte","FL","33952","CHARLOTTE","0.863480","10 out of 10","0 out of 9","10 out of 10","0.903715","10 out of 10","9 out of 9","10 out of 10","0.891782","4 out of 10","5 out of 9","5 out of 10","0.464451","9 out of 10","8 out of 9","9 out of 10","0.367","2 out of 10","3 out of 9","3 out of 10","0.189","7 out of 10","7 out of 9","7 out of 10","0 out of 10","1.960","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"100238","NORTHSIDE HOSPITAL","6000 49TH ST N","Saint Petersburg","FL","33709","PINELLAS","0.864551","10 out of 10","9 out of 9","10 out of 10","0.890642","5 out of 10","0 out of 9","5 out of 10","0.888200","3 out of 10","5 out of 9","5 out of 10","0.384076","10 out of 10","9 out of 9","10 out of 10","0.179","6 out of 10","8 out of 9","8 out of 10","0.862","0 out of 10","3 out of 9","3 out of 10","6 out of 10","0.423","4 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"100242","GULF COAST REGIONAL MEDICAL CENTER","449 W 23RD ST","Panama City","FL","32405","BAY","0.862992","10 out of 10","Not Available","10 out of 10","0.896633","8 out of 10","0 out of 9","8 out of 10","0.895714","6 out of 10","1 out of 9","6 out of 10","0.378981","10 out of 10","9 out of 9","10 out of 10","0.360","3 out of 10","0 out of 9","3 out of 10","0.470","4 out of 10","0 out of 9","4 out of 10","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"100243","BRANDON REGIONAL HOSPITAL","119 OAKFIELD DR","Brandon","FL","33511","HILLSBOROUGH","0.872759","10 out of 10","9 out of 9","10 out of 10","0.887293","3 out of 10","0 out of 9","3 out of 10","0.893170","5 out of 10","0 out of 9","5 out of 10","0.439357","10 out of 10","9 out of 9","10 out of 10","0.445","1 out of 10","6 out of 9","6 out of 10","0.879","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0.643","1 out of 10","0 out of 9","1 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"100244","CAPE CORAL HOSPITAL","636 DEL PRADO BLVD","Cape Coral","FL","33990","LEE","0.857744","7 out of 10","7 out of 9","7 out of 10","0.894167","7 out of 10","7 out of 9","7 out of 10","0.887121","2 out of 10","3 out of 9","3 out of 10","0.720903","0 out of 10","5 out of 9","5 out of 10","0.493","0 out of 10","3 out of 9","3 out of 10","1.728","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1.548","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"100246","LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE","1700 S 23RD ST","Fort Pierce","FL","34950","ST. LUCIE","0.879483","10 out of 10","9 out of 9","10 out of 10","0.892129","6 out of 10","5 out of 9","6 out of 10","0.888748","3 out of 10","2 out of 9","3 out of 10","0.399761","10 out of 10","9 out of 9","10 out of 10","0.233","5 out of 10","2 out of 9","5 out of 10","0.378","5 out of 10","0 out of 9","5 out of 10","4 out of 10","0.429","4 out of 10","0 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available"
"100248","LARGO MEDICAL CENTER","201 14TH ST SW","Largo","FL","33770","PINELLAS","0.857626","7 out of 10","7 out of 9","7 out of 10","0.862622","0 out of 10","0 out of 9","0 out of 10","0.871388","0 out of 10","0 out of 9","0 out of 10","0.542243","5 out of 10","2 out of 9","5 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","7 out of 10","0.163","7 out of 10","0 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"100249","SEVEN RIVERS REGIONAL MEDICAL CENTER","6201 N SUNCOAST BLVD","Crystal River","FL","34428","CITRUS","0.863651","10 out of 10","9 out of 9","10 out of 10","0.864580","0 out of 10","0 out of 9","0 out of 10","0.872642","0 out of 10","4 out of 9","4 out of 10","0.628852","0 out of 10","0 out of 9","0 out of 10","0.626","0 out of 10","0 out of 9","0 out of 10","0.301","6 out of 10","1 out of 9","6 out of 10","3 out of 10","0.488","3 out of 10","0 out of 9","3 out of 10","Not Available","Not Available","Not Available","Not Available"
"100252","RAULERSON HOSPITAL","1796 HWY 441 NORTH","Okeechobee","FL","34972","OKEECHOBEE","0.877710","10 out of 10","9 out of 9","10 out of 10","0.913126","10 out of 10","9 out of 9","10 out of 10","0.894972","6 out of 10","7 out of 9","7 out of 10","0.461390","9 out of 10","9 out of 9","9 out of 10","0.484","0 out of 10","0 out of 9","0 out of 10","1.266","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1.661","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"100253","JUPITER MEDICAL CENTER","1210 S OLD DIXIE HWY","Jupiter","FL","33458","PALM BEACH","0.852715","4 out of 10","5 out of 9","5 out of 10","0.903482","10 out of 10","9 out of 9","10 out of 10","0.905840","10 out of 10","0 out of 9","10 out of 10","0.529167","5 out of 10","4 out of 9","5 out of 10","0.289","4 out of 10","1 out of 9","4 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"100254","CAPITAL REGIONAL MEDICAL CENTER","2626 CAPITAL MEDICAL BLVD","Tallahassee","FL","32308","LEON","0.832781","0 out of 10","0 out of 9","0 out of 10","0.874137","0 out of 10","0 out of 9","0 out of 10","0.877685","0 out of 10","0 out of 9","0 out of 10","0.410951","10 out of 10","9 out of 9","10 out of 10","2.647","0 out of 10","0 out of 9","0 out of 10","3.719","0 out of 10","0 out of 9","0 out of 10","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"100255","TAMPA COMMUNITY HOSPITAL","6001 WEBB RD","Tampa","FL","33615","HILLSBOROUGH","0.855860","Not Available","Not Available","Not Available","0.891975","6 out of 10","0 out of 9","6 out of 10","0.891429","4 out of 10","Not Available","4 out of 10","0.735589","0 out of 10","1 out of 9","1 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","0.532","4 out of 10","0 out of 9","4 out of 10","0 out of 10","2.588","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"100256","REGIONAL MEDICAL CENTER BAYONET POINT","14000 FIVAY RD","Hudson","FL","34667","PASCO","0.852591","4 out of 10","6 out of 9","6 out of 10","0.873703","0 out of 10","0 out of 9","0 out of 10","0.871485","0 out of 10","0 out of 9","0 out of 10","0.387712","10 out of 10","0 out of 9","10 out of 10","0.699","0 out of 10","0 out of 9","0 out of 10","1.305","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1.437","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"100258","DELRAY MEDICAL CENTER","5352 LINTON BLVD","Delray Beach","FL","33484","PALM BEACH","0.844986","0 out of 10","0 out of 9","0 out of 10","0.888261","4 out of 10","4 out of 9","4 out of 10","0.909323","10 out of 10","9 out of 9","10 out of 10","0.287351","10 out of 10","9 out of 9","10 out of 10","0.372","2 out of 10","0 out of 9","2 out of 10","0.362","5 out of 10","0 out of 9","5 out of 10","5 out of 10","0.594","1 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"100259","SOUTH BAY HOSPITAL","4016 SUN CITY CENTER BLVD","Sun City Center","FL","33573","HILLSBOROUGH","0.869900","10 out of 10","9 out of 9","10 out of 10","0.867874","0 out of 10","0 out of 9","0 out of 10","0.890827","4 out of 10","3 out of 9","4 out of 10","0.450182","9 out of 10","9 out of 9","9 out of 10","0.433","1 out of 10","4 out of 9","4 out of 10","0.345","6 out of 10","0 out of 9","6 out of 10","2 out of 10","3.019","0 out of 10","2 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
"100260","ST LUCIE MEDICAL CENTER","1800 SE TIFFANY AVE","Port Saint Lucie","FL","34952","ST. LUCIE","0.864242","10 out of 10","9 out of 9","10 out of 10","0.864193","0 out of 10","2 out of 9","2 out of 10","0.858380","0 out of 10","0 out of 9","0 out of 10","0.453076","9 out of 10","9 out of 9","9 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","3 out of 10","0.552","2 out of 10","3 out of 9","3 out of 10","Not Available","Not Available","Not Available","Not Available"
"100264","OAK HILL HOSPITAL","11375 CORTEZ BLVD","Brooksville","FL","34613","HERNANDO","0.873932","10 out of 10","9 out of 9","10 out of 10","0.876186","0 out of 10","0 out of 9","0 out of 10","0.890094","4 out of 10","4 out of 9","4 out of 10","0.420490","10 out of 10","9 out of 9","10 out of 10","0.338","3 out of 10","0 out of 9","3 out of 10","0.709","2 out of 10","0 out of 9","2 out of 10","5 out of 10","0.329","5 out of 10","0 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"100265","MEASE COUNTRYSIDE HOSPITAL","3231 MCMULLEN BOOTH RD","Safety Harbor","FL","34695","PINELLAS","0.869725","10 out of 10","9 out of 9","10 out of 10","0.891538","5 out of 10","7 out of 9","7 out of 10","0.902783","9 out of 10","8 out of 9","9 out of 10","0.448874","10 out of 10","9 out of 9","10 out of 10","0.095","8 out of 10","6 out of 9","8 out of 10","0.545","3 out of 10","2 out of 9","3 out of 10","0 out of 10","0.847","0 out of 10","0 out of 9","0 out of 10","0.810","0 out of 10","0 out of 9","0 out of 10"
"100266","GULF BREEZE HOSPITAL","1110 GULF BREEZE PKWY","Gulf Breeze","FL","32561","SANTA ROSA","0.867706","Not Available","Not Available","Not Available","0.896465","8 out of 10","8 out of 9","8 out of 10","0.902934","9 out of 10","9 out of 9","9 out of 10","0.357993","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","1.629","0 out of 10","0 out of 9","0 out of 10","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"100267","ENGLEWOOD COMMUNITY HOSPITAL","700 MEDICAL BLVD","Englewood","FL","34223","SARASOTA","0.865201","10 out of 10","9 out of 9","10 out of 10","0.904023","10 out of 10","9 out of 9","10 out of 10","0.899521","8 out of 10","8 out of 9","8 out of 10","0.431163","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","Not Available","10 out of 10","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"100268","WEST BOCA MEDICAL CENTER","21644 STATE RD 7","Boca Raton","FL","33428","PALM BEACH","0.851708","3 out of 10","4 out of 9","4 out of 10","0.895588","7 out of 10","7 out of 9","7 out of 10","0.896597","6 out of 10","3 out of 9","6 out of 10","0.479735","8 out of 10","2 out of 9","8 out of 10","0.569","0 out of 10","3 out of 9","3 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","4 out of 10","0.755","0 out of 10","4 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available"
"100269","PALMS WEST HOSPITAL","13001 SOUTHERN BLVD","Loxahatchee","FL","33470","PALM BEACH","0.859299","8 out of 10","4 out of 9","8 out of 10","0.890435","5 out of 10","1 out of 9","5 out of 10","0.900723","8 out of 10","9 out of 9","9 out of 10","0.529517","5 out of 10","4 out of 9","5 out of 10","0.611","0 out of 10","0 out of 9","0 out of 10","0.422","5 out of 10","0 out of 9","5 out of 10","5 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","0.739","1 out of 10","0 out of 9","1 out of 10"
"100275","WELLINGTON REGIONAL MEDICAL CENTER","10101 FOREST HILL BLVD","Wellington","FL","33414","PALM BEACH","0.850920","3 out of 10","Not Available","3 out of 10","0.861668","0 out of 10","0 out of 9","0 out of 10","0.903747","9 out of 10","9 out of 9","9 out of 10","0.561869","3 out of 10","7 out of 9","7 out of 10","0.911","0 out of 10","0 out of 9","0 out of 10","1.953","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0.493","3 out of 10","0 out of 9","3 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"100276","BROWARD HEALTH CORAL SPRINGS","3000 CORAL HILLS DR","Coral Springs","FL","33065","BROWARD","0.854991","Not Available","Not Available","Not Available","0.901381","10 out of 10","9 out of 9","10 out of 10","0.883167","1 out of 10","0 out of 9","1 out of 10","0.485399","8 out of 10","4 out of 9","8 out of 10","0.515","0 out of 10","6 out of 9","6 out of 10","1.989","0 out of 10","1 out of 9","1 out of 10","1 out of 10","0.614","1 out of 10","0 out of 9","1 out of 10","1.432","0 out of 10","Not Available","0 out of 10"
"100281","MEMORIAL HOSPITAL WEST","703 N FLAMINGO RD","Pembroke Pines","FL","33028","BROWARD","0.865849","10 out of 10","9 out of 9","10 out of 10","0.893558","6 out of 10","0 out of 9","6 out of 10","0.910462","10 out of 10","9 out of 9","10 out of 10","0.558277","4 out of 10","1 out of 9","4 out of 10","0.278","4 out of 10","4 out of 9","4 out of 10","2.615","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0.701","0 out of 10","5 out of 9","5 out of 10","1.830","0 out of 10","0 out of 9","0 out of 10"
"100284","WESTCHESTER GENERAL HOSPITAL","2500 SW 75TH AVE","Miami","FL","33155","DADE","0.863935","Not Available","Not Available","Not Available","0.879042","0 out of 10","1 out of 9","1 out of 10","0.890427","4 out of 10","0 out of 9","4 out of 10","0.370600","10 out of 10","9 out of 9","10 out of 10","1.484","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","1 out of 10","Not Available","Not Available","Not Available","Not Available","0.752","1 out of 10","Not Available","1 out of 10"
"100285","MEMORIAL HOSPITAL MIRAMAR","1901 SW 172ND AVE","Miramar","FL","33029","BROWARD","0.866848","Not Available","Not Available","Not Available","0.889337","4 out of 10","3 out of 9","4 out of 10","0.890995","4 out of 10","3 out of 9","4 out of 10","0.410071","10 out of 10","9 out of 9","10 out of 10","0.338","3 out of 10","0 out of 9","3 out of 10","0.310","6 out of 10","8 out of 9","8 out of 10","7 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.401","5 out of 10","Not Available","5 out of 10"
"100286","PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE","6101 PINE RIDGE ROAD","Naples","FL","34119","COLLIER","0.864695","10 out of 10","9 out of 9","10 out of 10","0.892060","6 out of 10","5 out of 9","6 out of 10","0.894590","5 out of 10","4 out of 9","5 out of 10","0.495318","7 out of 10","8 out of 9","8 out of 10","1.235","0 out of 10","3 out of 9","3 out of 10","0.657","2 out of 10","5 out of 9","5 out of 10","6 out of 10","0.591","2 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"100287","GOOD SAMARITAN MEDICAL CENTER","1309 N FLAGLER DR","West Palm Beach","FL","33401","PALM BEACH","0.867878","10 out of 10","9 out of 9","10 out of 10","0.892331","6 out of 10","5 out of 9","6 out of 10","0.887602","3 out of 10","1 out of 9","3 out of 10","0.590702","2 out of 10","0 out of 9","2 out of 10","0.265","4 out of 10","4 out of 9","4 out of 10","1.342","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1.064","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"100288","ST MARY'S MEDICAL CENTER","901 45TH ST","West Palm Beach","FL","33407","PALM BEACH","0.862045","Not Available","Not Available","Not Available","0.882948","1 out of 10","Not Available","1 out of 10","0.873909","0 out of 10","Not Available","0 out of 10","0.409868","10 out of 10","9 out of 9","10 out of 10","0.203","6 out of 10","4 out of 9","6 out of 10","2.793","0 out of 10","0 out of 9","0 out of 10","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"100289","CLEVELAND CLINIC HOSPITAL","3100 WESTON RD","Weston","FL","33331","BROWARD","0.865932","10 out of 10","Not Available","10 out of 10","0.903668","10 out of 10","9 out of 9","10 out of 10","0.909942","10 out of 10","9 out of 9","10 out of 10","0.376183","10 out of 10","9 out of 9","10 out of 10","0.791","0 out of 10","0 out of 9","0 out of 10","0.355","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0.910","0 out of 10","Not Available","0 out of 10","0.677","1 out of 10","Not Available","1 out of 10"
"100290","VILLAGES REGIONAL HOSPITAL, THE","1451 EL CAMINO REAL","The Villages","FL","32159","SUMTER","0.873064","10 out of 10","9 out of 9","10 out of 10","0.877425","0 out of 10","0 out of 9","0 out of 10","0.879154","0 out of 10","0 out of 9","0 out of 10","0.282100","10 out of 10","9 out of 9","10 out of 10","0.927","0 out of 10","0 out of 9","0 out of 10","0.766","1 out of 10","8 out of 9","8 out of 10","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"100291","WUESTHOFF MEDICAL CENTER-MELBOURNE","250 NORTH WICKHAM ROAD","Melbourne","FL","32935","BREVARD","0.842300","0 out of 10","Not Available","0 out of 10","0.899397","9 out of 10","9 out of 9","9 out of 10","0.910086","10 out of 10","9 out of 9","10 out of 10","0.545138","4 out of 10","4 out of 9","4 out of 10","0.804","0 out of 10","2 out of 9","2 out of 10","1.938","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0.636","1 out of 10","4 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available"
"100292","SACRED HEART HOSPITAL ON THE EMERALD COAST","7800 US HWY 98 W","Miramar Beach","FL","32550","WALTON","0.856912","6 out of 10","Not Available","6 out of 10","0.879328","0 out of 10","0 out of 9","0 out of 10","0.897110","7 out of 10","8 out of 9","8 out of 10","0.331544","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","1.887","0 out of 10","Not Available","0 out of 10","1 out of 10","0.655","1 out of 10","0 out of 9","1 out of 10","Not Available","Not Available","Not Available","Not Available"
"100296","DOCTORS HOSPITAL","5000 UNIVERSITY DR","Coral Gables","FL","33146","DADE","0.863333","Not Available","Not Available","Not Available","0.899745","9 out of 10","0 out of 9","9 out of 10","0.887158","2 out of 10","0 out of 9","2 out of 10","0.552029","4 out of 10","7 out of 9","7 out of 10","0.770","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","2 out of 10","0.546","2 out of 10","0 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
"100299","LAKEWOOD RANCH MEDICAL CENTER","8330 LAKEWOOD RANCH BLVD","Bradenton","FL","34202","MANATEE","0.852566","4 out of 10","4 out of 9","4 out of 10","0.879054","0 out of 10","0 out of 9","0 out of 10","0.898260","7 out of 10","4 out of 9","7 out of 10","0.407059","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","Not Available","10 out of 10","0.528","4 out of 10","0 out of 9","4 out of 10","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"100302","ST CLOUD REGIONAL MEDICAL CENTER","2906 17TH STREET","Saint Cloud","FL","34769","OSCEOLA","0.862517","10 out of 10","Not Available","10 out of 10","0.886175","3 out of 10","5 out of 9","5 out of 10","0.883202","1 out of 10","2 out of 9","2 out of 10","0.407616","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.633","2 out of 10","0 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100307","ST VINCENT'S MEDICAL CENTER SOUTHSIDE","4201 BELFORT RD","Jacksonville","FL","32216","DUVAL","0.863657","10 out of 10","9 out of 9","10 out of 10","0.895185","7 out of 10","0 out of 9","7 out of 10","0.902693","9 out of 10","9 out of 9","9 out of 10","0.452246","9 out of 10","9 out of 9","9 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","4 out of 10","0.431","4 out of 10","1 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available"
"100313","SACRED HEART HOSPITAL ON THE GULF","3801 E HWY 98","Port Saint Joe","FL","32456","GULF","0.860482","Not Available","Not Available","Not Available","0.885985","3 out of 10","Not Available","3 out of 10","0.896081","Not Available","Not Available","Not Available","0.458658","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100314","WEST KENDALL BAPTIST HOSPITAL","9555 SW 162 AVE","Miami","FL","33196","DADE","0.873146","Not Available","Not Available","Not Available","0.890895","5 out of 10","Not Available","5 out of 10","0.885168","2 out of 10","Not Available","2 out of 10","0.591975","2 out of 10","1 out of 9","2 out of 10","0.937","0 out of 10","0 out of 9","0 out of 10","1.727","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0.686","0 out of 10","2 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
"100315","VIERA HOSPITAL","8745 N WICKHAM RD","Melbourne","FL","32940","BREVARD","0.845145","0 out of 10","Not Available","0 out of 10","0.892776","6 out of 10","Not Available","6 out of 10","0.899638","8 out of 10","Not Available","8 out of 10","0.534157","5 out of 10","4 out of 9","5 out of 10","0.706","0 out of 10","0 out of 9","0 out of 10","0.763","1 out of 10","0 out of 9","1 out of 10","8 out of 10","0.405","4 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
