Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,IMM-2 Performance Rate,IMM-2 Achievement Points,IMM-2 Improvement Points,IMM-2 Measure Score,Preventive Condition/Procedure Score
"120006","CASTLE MEDICAL CENTER","640 ULUKAHIKI ST","Kailua","HI","96734","HONOLULU","0.95336","6 out of 10","9 out of 9","9 out of 10","9"
"150128","COMMUNITY HOSPITAL SOUTH","1402 E COUNTY LINE RD S","Indianapolis","IN","46227","MARION","0.95146","5 out of 10","8 out of 9","8 out of 10","8"
"340142","CARTERET GENERAL HOSPITAL","3500 ARENDELL ST","Morehead City","NC","28557","CARTERET","0.91781","2 out of 10","5 out of 9","5 out of 10","5"
"430016","AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER","1325 S CLIFF AVE  POST OFFICE BOX 5045","Sioux Falls","SD","57117","MINNEHAHA","0.94275","4 out of 10","2 out of 9","4 out of 10","4"
"360192","UH GEAUGA MEDICAL CENTER","13207 RAVENNA RD","Chardon","OH","44024","GEAUGA","0.98120","9 out of 10","8 out of 9","9 out of 10","9"
"450678","DOCTORS HOSPITAL","9440 POPPY DR","Dallas","TX","75218","DALLAS","0.96892","7 out of 10","8 out of 9","8 out of 10","8"
"450085","GRAHAM REGIONAL MEDICAL CENTER","1301 MONTGOMERY ROAD","Graham","TX","76450","YOUNG","0.95205","6 out of 10","6 out of 9","6 out of 10","6"
"450831","SURGERY SPECIALTY HOSPITALS OF AMERICA SE HOUSTON","4301 B VISTA","Pasadena","TX","77504","HARRIS","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"390009","SAINT VINCENT HOSPITAL","232 WEST 25TH STREET","Erie","PA","16544","ERIE","0.91366","1 out of 10","7 out of 9","7 out of 10","7"
"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","Cottonwood","AZ","86326","YAVAPAI","0.99542","10 out of 10","9 out of 9","10 out of 10","10"
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","Fairbanks","AK","99701","FAIRBANKS","0.90110","0 out of 10","3 out of 9","3 out of 10","3"
"450537","METHODIST RICHARDSON MEDICAL CENTER","2831 E PRESIDENT GEORGE BUSH HIGHWAY","Richardson","TX","75080","DALLAS","0.99270","10 out of 10","9 out of 9","10 out of 10","10"
"500084","EVERGREEN HEALTH MONROE","14701 179TH SE","Monroe","WA","98272","SNOHOMISH","0.92115","2 out of 10","5 out of 9","5 out of 10","5"
"230089","BEAUMONT HOSPITAL, GROSSE POINTE","468 CADIEUX RD","Grosse Pointe","MI","48230","WAYNE","0.97207","8 out of 10","5 out of 9","8 out of 10","8"
"430090","SIOUX FALLS SPECIALTY HOSPITAL LLP","910 EAST 20TH STREET","Sioux Falls","SD","57105","MINNEHAHA","0.98137","9 out of 10","9 out of 9","9 out of 10","9"
"440152","REGIONAL ONE HEALTH","877 JEFFERSON AVENUE","Memphis","TN","38103","SHELBY","0.27419","0 out of 10","0 out of 9","0 out of 10","0"
"050030","OROVILLE HOSPITAL","2767 OLIVE HIGHWAY","Oroville","CA","95966","BUTTE","0.95303","6 out of 10","7 out of 9","7 out of 10","7"
"260207","OZARKS COMMUNITY HOSPITAL","2828 NORTH NATIONAL","Springfield","MO","65803","GREENE","0.98456","9 out of 10","8 out of 9","9 out of 10","9"
"410007","RHODE ISLAND HOSPITAL","593 EDDY STREET","Providence","RI","02902","PROVIDENCE","0.80628","0 out of 10","3 out of 9","3 out of 10","3"
"450571","SHANNON MEDICAL CENTER","120 EAST HARRIS AVENUE","San Angelo","TX","76903","TOM GREEN","0.88889","0 out of 10","0 out of 9","0 out of 10","0"
"050126","VALLEY PRESBYTERIAN HOSPITAL","15107 VANOWEN ST","Van Nuys","CA","91405","LOS ANGELES","0.85088","0 out of 10","7 out of 9","7 out of 10","7"
"100154","SOUTH MIAMI HOSPITAL","6200 SW 73RD ST","Miami","FL","33143","DADE","0.99238","10 out of 10","9 out of 9","10 out of 10","10"
"050115","PALOMAR HEALTH DOWNTOWN CAMPUS","555 E VALLEY PARKWAY","Escondido","CA","92025","SAN DIEGO","0.92075","2 out of 10","8 out of 9","8 out of 10","8"
"330164","HIGHLAND HOSPITAL","1000 SOUTH AVENUE","Rochester","NY","14620","MONROE","0.96800","7 out of 10","8 out of 9","8 out of 10","8"
"420019","CHESTER REGIONAL MEDICAL CENTER","1 MEDICAL PARK DRIVE","Chester","SC","29706","CHESTER","0.99644","10 out of 10","9 out of 9","10 out of 10","10"
"190034","ABBEVILLE GENERAL HOSPITAL","118 N HOSPITAL DR","Abbeville","LA","70510","VERMILION","0.93511","4 out of 10","5 out of 9","5 out of 10","5"
"200021","MID COAST HOSPITAL","123 MEDICAL CENTER DRIVE","Brunswick","ME","04011","CUMBERLAND","0.94709","5 out of 10","7 out of 9","7 out of 10","7"
"100320","POINCIANA MEDICAL CENTER","325 CYPRESS PKWY","Kissimmee","FL","34758","OSCEOLA","0.99654","10 out of 10","Not Available","10 out of 10","10"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","Asheville","NC","28803","BUNCOMBE","0.95722","6 out of 10","5 out of 9","6 out of 10","6"
"240057","ABBOTT NORTHWESTERN HOSPITAL","800 EAST 28TH STREET","Minneapolis","MN","55407","HENNEPIN","0.93613","4 out of 10","0 out of 9","4 out of 10","4"
"140130","NORTHWESTERN LAKE FOREST HOSPITAL","660 N WESTMORELAND ROAD","Lake Forest","IL","60045","LAKE","0.98097","9 out of 10","8 out of 9","9 out of 10","9"
"440060","MILAN GENERAL HOSPITAL","4039 HIGHLAND ST","Milan","TN","38358","GIBSON","0.98618","9 out of 10","9 out of 9","9 out of 10","9"
"390003","GEISINGER - BLOOMSBURG HOSPITAL","549 EAST FAIR STREET","Bloomsburg","PA","17815","COLUMBIA","0.98382","9 out of 10","9 out of 9","9 out of 10","9"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","Glendale","AZ","85306","MARICOPA","0.93542","4 out of 10","2 out of 9","4 out of 10","4"
"390325","OSS ORTHOPAEDIC HOSPITAL","1861 POWDER MILL RD","York","PA","17402","YORK","0.95518","6 out of 10","7 out of 9","7 out of 10","7"
"230133","OTSEGO MEMORIAL HOSPITAL","825 N CENTER AVE","Gaylord","MI","49735","OTSEGO","0.98238","9 out of 10","8 out of 9","9 out of 10","9"
"450177","UVALDE MEMORIAL HOSPITAL","1025 GARNER FIELD ROAD","Uvalde","TX","78801","UVALDE","0.91770","2 out of 10","7 out of 9","7 out of 10","7"
"360203","SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER","1341 NORTH CLARK STREET","Cambridge","OH","43725","GUERNSEY","0.89589","0 out of 10","1 out of 9","1 out of 10","1"
"370014","ALLIANCEHEALTH DURANT","1800 UNIVERSITY BOULEVARD","Durant","OK","74702","BRYAN","0.98379","9 out of 10","0 out of 9","9 out of 10","9"
"380025","LEGACY MOUNT HOOD MEDICAL CENTER","24800 SE STARK STREET","Gresham","OR","97030","MULTNOMAH","0.96988","7 out of 10","8 out of 9","8 out of 10","8"
"140167","IROQUOIS MEMORIAL HOSPITAL","200 FAIRMAN STREET","Watseka","IL","60970","IROQUOIS","0.95565","6 out of 10","5 out of 9","6 out of 10","6"
"330158","GOOD SAMARITAN HOSPITAL OF SUFFERN","255 LAFAYETTE AVENUE","Suffern","NY","10901","ROCKLAND","0.78107","0 out of 10","0 out of 9","0 out of 10","0"
"190036","OCHSNER MEDICAL CENTER","1516 JEFFERSON HWY","New Orleans","LA","70121","JEFFERSON","0.84053","0 out of 10","5 out of 9","5 out of 10","5"
"340039","IREDELL MEMORIAL HOSPITAL INC","557 BROOKDALE DR  P O BOX 1828","Statesville","NC","28677","IREDELL","0.95707","6 out of 10","6 out of 9","6 out of 10","6"
"450822","LAS COLINAS MEDICAL CENTER","6800 N MACARTHUR BLVD","Irving","TX","75039","DALLAS","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"440063","JOHNSON CITY MEDICAL CENTER","400 N STATE OF FRANKLIN RD","Johnson City","TN","37604","WASHINGTON","0.96182","7 out of 10","8 out of 9","8 out of 10","8"
"130003","ST JOSEPH REGIONAL MEDICAL CENTER","415 SIXTH STREET","Lewiston","ID","83501","NEZ PERCE","0.90049","0 out of 10","3 out of 9","3 out of 10","3"
"050180","JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS","1601 YGNACIO VALLEY RD","Walnut Creek","CA","94598","CONTRA COSTA","0.85221","0 out of 10","2 out of 9","2 out of 10","2"
"100001","UF HEALTH JACKSONVILLE","655 W 8TH ST","Jacksonville","FL","32209","DUVAL","0.97431","8 out of 10","9 out of 9","9 out of 10","9"
"390042","WASHINGTON HOSPITAL, THE","155 WILSON AVENUE","Washington","PA","15301","WASHINGTON","0.98559","9 out of 10","0 out of 9","9 out of 10","9"
"450037","GOOD SHEPHERD MEDICAL CENTER","700 EAST MARSHALL AVENUE","Longview","TX","75601","GREGG","0.97333","8 out of 10","7 out of 9","8 out of 10","8"
"360163","CHRIST HOSPITAL","2139 AUBURN AVENUE","Cincinnati","OH","45219","HAMILTON","0.94834","5 out of 10","4 out of 9","5 out of 10","5"
"340020","CENTRAL CAROLINA HOSPITAL","1135 CARTHAGE ST","Sanford","NC","27330","LEE","0.93385","4 out of 10","6 out of 9","6 out of 10","6"
"180128","THREE RIVERS MEDICAL CENTER","2485 HIGHWAY 644","Louisa","KY","41230","LAWRENCE","0.99631","10 out of 10","9 out of 9","10 out of 10","10"
"050272","REDLANDS COMMUNITY HOSPITAL","350 TERRACINA BLVD","Redlands","CA","92373","SAN BERNARDINO","0.95464","6 out of 10","7 out of 9","7 out of 10","7"
"420085","GRAND STRAND REGIONAL MEDICAL CENTER","809 82ND PARKWAY","Myrtle Beach","SC","29572","HORRY","0.99843","10 out of 10","9 out of 9","10 out of 10","10"
"440030","MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION","908 W 4TH NORTH ST","Morristown","TN","37814","HAMBLEN","0.97666","8 out of 10","7 out of 9","8 out of 10","8"
"140002","ALTON MEMORIAL HOSPITAL","ONE MEMORIAL DRIVE","Alton","IL","62002","MADISON","0.99615","10 out of 10","9 out of 9","10 out of 10","10"
"420005","MCLEOD MEDICAL CENTER - DILLON","301 E JACKSON STREET PO BOX 1327","Dillon","SC","29536","DILLON","0.98770","9 out of 10","9 out of 9","9 out of 10","9"
"060016","CENTURA HEALTH-ST THOMAS MORE HOSPITAL","1338 PHAY AVE","Canon City","CO","81212","FREMONT","0.99338","10 out of 10","9 out of 9","10 out of 10","10"
"340096","LEXINGTON MEMORIAL HOSPITAL INC","250 HOSPITAL DRIVE PO BOX 1817","Lexington","NC","27292","DAVIDSON","0.99051","10 out of 10","9 out of 9","10 out of 10","10"
"150182","FRANCISCAN ST FRANCIS HEALTH - CARMEL","12188 B NORTH MERIDIAN STREET","Carmel","IN","46240","HAMILTON","1.00000","10 out of 10","Not Available","10 out of 10","10"
"050235","PROVIDENCE SAINT JOSEPH MEDICAL CTR","501 SOUTH BUENA VISTA","Torrance","CA","90504","LOS ANGELES","0.92487","3 out of 10","0 out of 9","3 out of 10","3"
"190081","WEST CARROLL MEMORIAL HOSPITAL","706 ROSS STREET","Oak Grove","LA","71263","WEST CARROLL","0.07143","0 out of 10","0 out of 9","0 out of 10","0"
"420069","CLARENDON MEMORIAL HOSPITAL","10 HOSPITAL ST BOX 550","Manning","SC","29102","CLARENDON","0.83274","0 out of 10","0 out of 9","0 out of 10","0"
"090005","SIBLEY MEMORIAL HOSPITAL","5255 LOUGHBORO RD NW","Washington","DC","20016","DISTRICT OF COLUMBIA","0.96833","7 out of 10","7 out of 9","7 out of 10","7"
"100137","HEART OF FLORIDA REGIONAL MEDICAL CENTER","40100 US HWY 27 N","Davenport","FL","33837","POLK","0.97992","9 out of 10","9 out of 9","9 out of 10","9"
"450143","SETON SMITHVILLE REGIONAL HOSPITAL","800 EAST HIGHWAY 71","Smithville","TX","78957","BASTROP","0.96241","7 out of 10","7 out of 9","7 out of 10","7"
"150048","REID HEALTH","1100 REID PKWY","Richmond","IN","47374","WAYNE","0.91187","1 out of 10","4 out of 9","4 out of 10","4"
"500003","SKAGIT VALLEY HOSPITAL","1415 KINCAID STREET","Mount Vernon","WA","98274","SKAGIT","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"360041","PARMA COMMUNITY GENERAL HOSPITAL","7007 POWERS BOULEVARD","Parma","OH","44129","CUYAHOGA","0.96807","7 out of 10","7 out of 9","7 out of 10","7"
"100232","PUTNAM COMMUNITY MEDICAL CENTER","611 ZEAGLER DR","Palatka","FL","32177","PUTNAM","0.94030","4 out of 10","0 out of 9","4 out of 10","4"
"250128","MERIT HEALTH BATESVILLE","303 MEDICAL CENTER DRIVE","Batesville","MS","38606","PANOLA","0.99670","10 out of 10","9 out of 9","10 out of 10","10"
"110205","NORTH GEORGIA MEDICAL CENTER","1362 SOUTH MAIN STREET","Ellijay","GA","30540","GILMER","0.85496","0 out of 10","6 out of 9","6 out of 10","6"
"360175","CLINTON MEMORIAL HOSPITAL","610 WEST MAIN STREET","Wilmington","OH","45177","CLINTON","0.95434","6 out of 10","8 out of 9","8 out of 10","8"
"040050","OUACHITA COUNTY MEDICAL CENTER","638 CALIFORNIA AVENUE","Camden","AR","71711","OUACHITA","0.94074","4 out of 10","0 out of 9","4 out of 10","4"
"030036","CHANDLER REGIONAL MEDICAL CENTER","1955 WEST FRYE ROAD","Chandler","AZ","85224","MARICOPA","0.97020","7 out of 10","1 out of 9","7 out of 10","7"
"160083","MERCY MEDICAL CENTER-DES MOINES","1111 6TH AVE","Des Moines","IA","50314","POLK","0.94788","5 out of 10","3 out of 9","5 out of 10","5"
"450235","MEMORIAL HOSPITAL","1110 NORTH SARAH DEWITT DRIVE","Gonzales","TX","78629","GONZALES","0.98182","9 out of 10","8 out of 9","9 out of 10","9"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","Muscle Shoals","AL","35661","COLBERT","0.97125","8 out of 10","5 out of 9","8 out of 10","8"
"370022","JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY","1200 EAST PECAN ST","Altus","OK","73523","JACKSON","0.96215","7 out of 10","7 out of 9","7 out of 10","7"
"230021","LAKELAND HOSPITAL, ST JOSEPH","1234 NAPIER AVENUE","St. Joseph","MI","49085","BERRIEN","0.97164","8 out of 10","8 out of 9","8 out of 10","8"
"240001","NORTH MEMORIAL MEDICAL CENTER","3300 OAKDALE NORTH","Robbinsdale","MN","55422","HENNEPIN","0.92321","2 out of 10","0 out of 9","2 out of 10","2"
"140068","ROSELAND COMMUNITY HOSPITAL","45 W 111TH STREET","Chicago","IL","60628","COOK","0.89501","0 out of 10","0 out of 9","0 out of 10","0"
"330047","ST MARY'S HOSPITAL AT AMSTERDAM","427 GUY PARK AVENUE","Amsterdam","NY","12010","MONTGOMERY","0.89183","0 out of 10","1 out of 9","1 out of 10","1"
"060125","CASTLE ROCK ADVENTIST HOSPITAL","2350 MEADOWS BLVD","Castle Rock","CO","80109","DOUGLAS","0.84028","0 out of 10","Not Available","0 out of 10","0"
"360123","ST JOHN MEDICAL CENTER","29000 CENTER RIDGE ROAD","Westlake","OH","44145","CUYAHOGA","0.90426","0 out of 10","4 out of 9","4 out of 10","4"
"240080","UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","2450 RIVERSIDE AVENUE","Minneapolis","MN","55454","HENNEPIN","0.88972","0 out of 10","2 out of 9","2 out of 10","2"
"240002","ESSENTIA HEALTH ST MARY'S MEDICAL CENTER","407 EAST THIRD STREET","Duluth","MN","55805","ST. LOUIS","0.93455","4 out of 10","4 out of 9","4 out of 10","4"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","Fort Payne","AL","35968","DE KALB","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"360036","WOOSTER COMMUNITY HOSPITAL","1761 BEALL AVENUE","Wooster","OH","44691","WAYNE","0.95833","6 out of 10","3 out of 9","6 out of 10","6"
"360121","COMMUNITY HOSPITALS AND WELLNESS CENTERS","433 WEST HIGH STREET","Bryan","OH","43506","WILLIAMS","0.98580","9 out of 10","9 out of 9","9 out of 10","9"
"320065","LEA REGIONAL MEDICAL CENTER","5419 N LOVINGTON HIGHWAY","Hobbs","NM","88240","LEA","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"060022","UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL","1400 E BOULDER ST","Colorado Springs","CO","80909","EL PASO","0.92992","3 out of 10","1 out of 9","3 out of 10","3"
"190106","OAKDALE COMMUNITY HOSPITAL","130 N HOSPITAL DR","Oakdale","LA","71463","ALLEN","0.85551","0 out of 10","3 out of 9","3 out of 10","3"
"050335","SONORA REGIONAL MEDICAL CENTER","1000 GREENLEY ROAD","Sonora","CA","95370","TUOLUMNE","0.96875","7 out of 10","0 out of 9","7 out of 10","7"
"280129","NEBRASKA ORTHOPAEDIC HOSPITAL","2808 SOUTH 143RD PLZ","Omaha","NE","68144","DOUGLAS","0.95016","5 out of 10","7 out of 9","7 out of 10","7"
"290005","NORTH VISTA HOSPITAL","1409 EAST LAKE MEAD BLVD","North Las Vegas","NV","89030","CLARK","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"310083","EAST ORANGE GENERAL HOSPITAL","300 CENTRAL AVE","East Orange","NJ","07018","ESSEX","0.96831","7 out of 10","8 out of 9","8 out of 10","8"
"360143","MARYMOUNT HOSPITAL","12300 MCCRACKEN ROAD","Garfield Heights","OH","44125","CUYAHOGA","0.98456","9 out of 10","5 out of 9","9 out of 10","9"
"520051","COLUMBIA ST MARYS HOSPITAL MILWAUKEE","2323 N LAKE DR","Milwaukee","WI","53211","MILWAUKEE","0.85938","0 out of 10","0 out of 9","0 out of 10","0"
"240066","LAKEVIEW MEMORIAL HOSPITAL","927 WEST CHURCHILL STREET","Stillwater","MN","55082","WASHINGTON","0.95103","5 out of 10","8 out of 9","8 out of 10","8"
"100099","LAKE WALES MEDICAL CENTER","410 S 11TH ST","Lake Wales","FL","33853","POLK","0.99158","10 out of 10","9 out of 9","10 out of 10","10"
"220002","MOUNT AUBURN HOSPITAL","330 MOUNT AUBURN STREET","Cambridge","MA","02138","MIDDLESEX","0.99160","10 out of 10","9 out of 9","10 out of 10","10"
"060020","PARKVIEW MEDICAL CENTER INC","400 W 16TH STREET","Pueblo","CO","81003","PUEBLO","0.87313","0 out of 10","0 out of 9","0 out of 10","0"
"100156","LAKE CITY MEDICAL CENTER","340 NW COMMERCE DR","Lake City","FL","32055","COLUMBIA","0.98276","9 out of 10","3 out of 9","9 out of 10","9"
"140015","BLESSING HOSPITAL","BROADWAY AT 11TH STREET","Quincy ","IL","62305","ADAMS","0.97584","8 out of 10","9 out of 9","9 out of 10","9"
"520011","LAKEVIEW MEDICAL CENTER","1700 WEST STOUT STREET","Rice Lake","WI","54868","BARRON","0.98182","9 out of 10","9 out of 9","9 out of 10","9"
"050496","JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS","2540 EAST ST","Concord","CA","94520","CONTRA COSTA","0.88069","0 out of 10","0 out of 9","0 out of 10","0"
"450716","CYPRESS FAIRBANKS MEDICAL CENTER","10655 STEEPLETOP DRIVE","Houston","TX","77065","HARRIS","0.93527","4 out of 10","7 out of 9","7 out of 10","7"
"450010","UNITED REGIONAL HEALTH CARE SYSTEM","1600 11TH STREET","Wichita Falls","TX","76301","WICHITA","0.99367","10 out of 10","9 out of 9","10 out of 10","10"
"340070","ALAMANCE REGIONAL MEDICAL CENTER","1240 HUFFMAN MILL RD","Burlington","NC","27216","ALAMANCE","0.94366","5 out of 10","4 out of 9","5 out of 10","5"
"100206","MEMORIAL HOSPITAL OF TAMPA","2901 W SWANN AVE","Tampa","FL","33609","HILLSBOROUGH","0.96585","7 out of 10","0 out of 9","7 out of 10","7"
"440197","TRISTAR SOUTHERN HILLS MEDICAL CENTER","391 WALLACE RD","Nashville","TN","37211","DAVIDSON","0.99567","10 out of 10","9 out of 9","10 out of 10","10"
"330185","JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON","75 NORTH COUNTRY ROAD","Port Jefferson","NY","11777","SUFFOLK","0.97529","8 out of 10","6 out of 9","8 out of 10","8"
"330101","NEW YORK-PRESBYTERIAN HOSPITAL","525 EAST 68TH STREET","New York","NY","10021","NEW YORK","0.99079","10 out of 10","9 out of 9","10 out of 10","10"
"110075","EAST GEORGIA REGIONAL MEDICAL CENTER","1499 FAIR ROAD","Statesboro","GA","30458","BULLOCH","0.96539","7 out of 10","5 out of 9","7 out of 10","7"
"420036","SPRINGS MEMORIAL HOSPITAL","800 W MEETING ST","Lancaster","SC","29720","LANCASTER","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"500015","MULTICARE AUBURN MEDICAL CENTER","202 NORTH DIVISION STREET PLAZA ONE","Auburn","WA","98001","KING","0.96289","7 out of 10","8 out of 9","8 out of 10","8"
"490097","SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER","727 NORTH MAIN STREET","Emporia","VA","23847","EMPORIA CITY","0.99644","10 out of 10","9 out of 9","10 out of 10","10"
"060064","CENTURA HEALTH-PORTER ADVENTIST HOSPITAL","2525 S DOWNING ST","Denver","CO","80210","DENVER","0.88038","0 out of 10","0 out of 9","0 out of 10","0"
"530014","CHEYENNE REGIONAL MEDICAL CENTER","214 EAST 23RD STREET","Cheyenne","WY","82001","LARAMIE","0.87476","0 out of 10","0 out of 9","0 out of 10","0"
"150037","HANCOCK REGIONAL HOSPITAL","801 N STATE ST","Greenfield","IN","46140","HANCOCK","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"100043","MEASE DUNEDIN HOSPITAL","601 MAIN ST","Dunedin","FL","34698","PINELLAS","0.99823","10 out of 10","9 out of 9","10 out of 10","10"
"070019","MILFORD HOSPITAL, INC","300 SEASIDE AVENUE","Milford","CT","06460","NEW HAVEN","0.99063","10 out of 10","9 out of 9","10 out of 10","10"
"420027","ANMED HEALTH","800 N FANT ST","Anderson","SC","29621","ANDERSON","0.97732","8 out of 10","3 out of 9","8 out of 10","8"
"140161","SAINT JAMES HOSPITAL","2500 WEST REYNOLDS STREET","Pontiac","IL","61764","LIVINGSTON","0.99640","10 out of 10","9 out of 9","10 out of 10","10"
"050438","HUNTINGTON MEMORIAL HOSPITAL","100 W  CALIFORNIA BLVD","Pasadena","CA","91109","LOS ANGELES","0.65354","0 out of 10","0 out of 9","0 out of 10","0"
"100030","HEALTH CENTRAL","10000 W COLONIAL DR","Ocoee","FL","34761","ORANGE","0.99307","10 out of 10","9 out of 9","10 out of 10","10"
"430096","LEWIS AND CLARK SPECIALTY HOSPITAL","2601 FOX RUN PARKWAY","Yankton","SD","57078","YANKTON","0.92208","2 out of 10","9 out of 9","9 out of 10","9"
"330386","CATSKILL REGIONAL MEDICAL CENTER","68 HARRIS BUSHVILLE ROAD","Harris","NY","12742","SULLIVAN","0.98198","9 out of 10","8 out of 9","9 out of 10","9"
"340145","CAROLINAS HEALTHCARE SYSTEM LINCOLN","433 MCALISTER RD","Lincolnton","NC","28092","LINCOLN","0.96729","7 out of 10","7 out of 9","7 out of 10","7"
"070006","STAMFORD HOSPITAL","30 SHELBURNE ROAD","Stamford","CT","06904","FAIRFIELD","0.98479","9 out of 10","9 out of 9","9 out of 10","9"
"140202","ADVOCATE CONDELL MEDICAL CENTER","801 S MILWAUKEE AVE","Libertyville","IL","60048","LAKE","0.99460","10 out of 10","9 out of 9","10 out of 10","10"
"100002","BETHESDA HOSPITAL EAST","2815 S SEACREST BLVD","Boynton Beach","FL","33435","PALM BEACH","0.98441","9 out of 10","5 out of 9","9 out of 10","9"
"330198","SOUTH NASSAU COMMUNITIES HOSPITAL","ONE HEALTHY WAY","Oceanside","NY","11572","NASSAU","0.98895","10 out of 10","9 out of 9","10 out of 10","10"
"490111","WYTHE COUNTY COMMUNITY HOSPITAL","600 WEST RIDGE ROAD","Wytheville","VA","24382","WYTHE","0.98227","9 out of 10","0 out of 9","9 out of 10","9"
"310112","BAYSHORE COMMUNITY HOSPITAL","727 N BEERS ST","Holmdel","NJ","07733","MONMOUTH","0.99653","10 out of 10","9 out of 9","10 out of 10","10"
"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","Sun City","AZ","85351","MARICOPA","0.97893","8 out of 10","0 out of 9","8 out of 10","8"
"050425","KAISER FOUNDATION HOSPITAL - SACRAMENTO","2025 MORSE AVENUE","Sacramento","CA","95825","SACRAMENTO","0.97195","8 out of 10","8 out of 9","8 out of 10","8"
"170006","VIA CHRISTI HOSPITAL PITTSBURG INC","1 MT CARMEL WAY","Pittsburg","KS","66762","CRAWFORD","0.97603","8 out of 10","8 out of 9","8 out of 10","8"
"060015","CENTURA HEALTH-ST ANTHONY HOSPITAL","11600 WEST 2ND PLACE","Lakewood","CO","80228","JEFFERSON","0.90654","1 out of 10","1 out of 9","1 out of 10","1"
"240214","MAPLE GROVE HOSPITAL","9875 HOSPITAL DRIVE","Maple Grove","MN","55369","HENNEPIN","0.98201","9 out of 10","8 out of 9","9 out of 10","9"
"220083","BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM","148 CHESTNUT STREET","Needham","MA","02494","NORFOLK","0.93814","4 out of 10","3 out of 9","4 out of 10","4"
"520027","COLUMBIA ST MARYS HOSPITAL OZAUKEE","13111 N PORT WASHINGTON RD","Mequon","WI","53097","OZAUKEE","0.94595","5 out of 10","1 out of 9","5 out of 10","5"
"450431","ST DAVID'S MEDICAL CENTER","919 E 32ND ST","Austin","TX","78705","TRAVIS","0.99462","10 out of 10","9 out of 9","10 out of 10","10"
"300029","PORTSMOUTH REGIONAL HOSPITAL","333 BORTHWICK AVE","Portsmouth","NH","03801","ROCKINGHAM","0.99822","10 out of 10","9 out of 9","10 out of 10","10"
"110008","NORTHSIDE HOSPITAL CHEROKEE","201 HOSPITAL ROAD","Canton","GA","30114","CHEROKEE","0.98835","9 out of 10","9 out of 9","9 out of 10","9"
"230005","PROMEDICA BIXBY HOSPITAL","818 RIVERSIDE AVENUE","Adrian","MI","49221","LENAWEE","0.93354","3 out of 10","2 out of 9","3 out of 10","3"
"280105","CHI HEALTH MIDLANDS","11111 SOUTH 84TH ST","Papillion","NE","68046","SARPY","0.99320","10 out of 10","0 out of 9","10 out of 10","10"
"050069","ST JOSEPH HOSPITAL","1100 WEST STEWART DR","Orange","CA","92868","ORANGE","0.94156","4 out of 10","7 out of 9","7 out of 10","7"
"050238","METHODIST HOSPITAL OF SOUTHERN CA","300 W HUNTINGTON DR","Arcadia","CA","91006","LOS ANGELES","0.93846","4 out of 10","7 out of 9","7 out of 10","7"
"460049","THE ORTHOPEDIC SPECIALTY HOSPITAL","5848 SOUTH 300 EAST","Murray","UT","84107","SALT LAKE","0.98792","9 out of 10","8 out of 9","9 out of 10","9"
"390130","CONEMAUGH MINERS MEDICAL CENTER","290 HAIDA AVENUE","Hastings","PA","16646","CAMBRIA","0.87574","0 out of 10","6 out of 9","6 out of 10","6"
"360037","ST VINCENT CHARITY MEDICAL CENTER","2351 EAST 22ND STREET","Cleveland","OH","44115","CUYAHOGA","0.92814","3 out of 10","5 out of 9","5 out of 10","5"
"460057","PARK CITY MEDICAL CENTER","900 ROUND VALLEY DRIVE","Park City","UT","84060","SUMMIT","0.98846","9 out of 10","9 out of 9","9 out of 10","9"
"440175","SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE","HWY 43 S BOX 847","Lawrenceburg","TN","38464","LAWRENCE","0.98828","9 out of 10","9 out of 9","9 out of 10","9"
