"Hospital_Name","PROVIDER ID","State","Fiscal Year","Domain_1_Score","Domain_1_Score_Footnote","Domain_1_Start_Date","Domain_1_End_Date","AHRQ_PSI_90_Score","AHRQ_PSI_90_Score_Footnote","Domain_2_Score","Domain_2_Score_Footnote","CLABSI_Score","CLABSI_Score_Footnote","CAUTI_Score","CAUTI_Score_Footnote","SSI_Score","SSI_Score_Footnote","Domain_2_Start_Date","Domain_2_End_Date","TOTAL_HAC_SCORE","Total_HAC_Score_Footnote"
"MILFORD HOSPITAL, INC",070019,CT,2016,3.0000,,07012012,06302014,3.0000,,3.6667,,1,,7,,3,,01012013,12312014,3.5000,
MIDDLESEX HOSPITAL,070020,CT,2016,8.0000,,07012012,06302014,8.0000,,7.0000,,1,,10,,10,,01012013,12312014,7.2500,
WINDHAM COMMUNITY MEMORIAL HOSPITAL,070021,CT,2016,5.0000,,07012012,06302014,5.0000,,7.6667,,7,,10,,6,,01012013,12312014,7.0000,
YALE-NEW HAVEN HOSPITAL,070022,CT,2016,10.0000,,07012012,06302014,10.0000,,7.6667,,6,,8,,9,,01012013,12312014,8.2500,
WILLIAM W BACKUS HOSPITAL,070024,CT,2016,3.0000,,07012012,06302014,3.0000,,7.6667,,6,,10,,7,,01012013,12312014,6.5000,
HARTFORD HOSPITAL,070025,CT,2016,10.0000,,07012012,06302014,10.0000,,7.0000,,6,,10,,5,,01012013,12312014,7.7500,
MANCHESTER MEMORIAL HOSPITAL,070027,CT,2016,9.0000,,07012012,06302014,9.0000,,8.6667,,8,,8,,10,,01012013,12312014,8.7500,
ST. VINCENT'S MEDICAL CENTER,070028,CT,2016,6.0000,,07012012,06302014,6.0000,,4.6667,,2,,9,,3,,01012013,12312014,5.0000,
BRISTOL HOSPITAL,070029,CT,2016,2.0000,,07012012,06302014,2.0000,,3.6667,,1,,2,,8,,01012013,12312014,3.2500,
GRIFFIN HOSPITAL,070031,CT,2016,4.0000,,07012012,06302014,4.0000,,3.3333,,5,,2,,3,,01012013,12312014,3.5000,
DANBURY HOSPITAL,070033,CT,2016,10.0000,,07012012,06302014,10.0000,,8.3333,,10,,9,,6,,01012013,12312014,8.7500,
NORWALK HOSPITAL ASSOCIATION,070034,CT,2016,9.0000,,07012012,06302014,9.0000,,7.6667,,4,,9,,10,,01012013,12312014,8.0000,
THE HOSPITAL OF CENTRAL CONNECTICUT,070035,CT,2016,10.0000,,07012012,06302014,10.0000,,6.0000,,4,,9,,5,,01012013,12312014,7.0000,
JOHN DEMPSEY HOSPITAL,070036,CT,2016,8.0000,,07012012,06302014,8.0000,,6.6667,,3,,7,,10,,01012013,12312014,7.0000,
THE CONNECTICUT HOSPICE INC.,070038,CT,2016,7.0000,,07012012,06302014,7.0000,,10.0000,18,10,18,10,18,10,18,01012013,12312014,9.2500,
MASONICARE HEALTH CENTER HOSPITAL,070039,CT,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
HEBREW HOME AND HOSPITAL INC,070040,CT,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
CHRISTIANA HOSPITAL,080001,DE,2016,7.0000,,07012012,06302014,7.0000,,6.3333,,5,,7,,7,,01012013,12312014,6.5000,
ST FRANCIS HOSPITAL,080003,DE,2016,1.0000,,07012012,06302014,1.0000,,5.0000,,3,,5,,7,,01012013,12312014,4.0000,
BAYHEALTH - KENT GENERAL HOSPITAL,080004,DE,2016,5.0000,,07012012,06302014,5.0000,,9.6667,,9,,10,,10,,01012013,12312014,8.5000,
NANTICOKE MEMORIAL HOSPITAL,080006,DE,2016,1.0000,,07012012,06302014,1.0000,,5.6667,,6,,9,,2,,01012013,12312014,4.5000,
BEEBE MEDICAL CENTER,080007,DE,2016,2.0000,,07012012,06302014,2.0000,,4.6667,,8,,4,,2,,01012013,12312014,4.0000,
BAYHEALTH - MILFORD MEMORIAL HOSPITAL,080009,DE,2016,2.0000,,07012012,06302014,2.0000,,6.3333,,1,,9,,9,,01012013,12312014,5.2500,
GEORGE WASHINGTON UNIV HOSPITAL,090001,DC,2016,9.0000,,07012012,06302014,9.0000,,8.6667,,10,,10,,6,,01012013,12312014,8.7500,
HOWARD UNIVERSITY HOSPITAL,090003,DC,2016,9.0000,,07012012,06302014,9.0000,,7.6667,,10,,4,,9,,01012013,12312014,8.0000,
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,090004,DC,2016,10.0000,,07012012,06302014,10.0000,,5.6667,,7,,5,,5,,01012013,12312014,6.7500,
SIBLEY MEMORIAL HOSPITAL,090005,DC,2016,8.0000,,07012012,06302014,8.0000,,8.6667,,10,,10,,6,,01012013,12312014,8.5000,
PROVIDENCE HOSPITAL,090006,DC,2016,9.0000,,07012012,06302014,9.0000,,7.6667,,6,,7,,10,,01012013,12312014,8.0000,
UNITED MEDICAL CENTER,090008,DC,2016,3.0000,,07012012,06302014,3.0000,,2.0000,,1,,3,,N/A,,01012013,12312014,2.2500,
MEDSTAR WASHINGTON HOSPITAL CENTER,090011,DC,2016,10.0000,,07012012,06302014,10.0000,,6.0000,,6,,6,,6,,01012013,12312014,7.0000,
SHANDS JACKSONVILLE,100001,FL,2016,10.0000,,07012012,06302014,10.0000,,10.0000,,10,,10,,10,,01012013,12312014,10.0000,
BETHESDA  HOSPITAL INC,100002,FL,2016,7.0000,,07012012,06302014,7.0000,,4.3333,,4,,3,,6,,01012013,12312014,5.0000,
ORLANDO HEALTH,100006,FL,2016,7.0000,,07012012,06302014,7.0000,,5.6667,,4,,7,,6,,01012013,12312014,6.0000,
FLORIDA HOSPITAL,100007,FL,2016,9.0000,,07012012,06302014,9.0000,,6.6667,,6,,6,,8,,01012013,12312014,7.2500,
BAPTIST HOSPITAL OF MIAMI INC,100008,FL,2016,8.0000,,07012012,06302014,8.0000,,6.3333,,4,,10,,5,,01012013,12312014,6.7500,
UNIVERSITY OF MIAMI HOSPITAL,100009,FL,2016,10.0000,,07012012,06302014,10.0000,,5.6667,,8,,3,,6,,01012013,12312014,6.7500,
LEE MEMORIAL HOSPITAL,100012,FL,2016,10.0000,,07012012,06302014,10.0000,,6.3333,,6,,7,,6,,01012013,12312014,7.2500,
BERT FISH MEDICAL CENTER,100014,FL,2016,8.0000,,07012012,06302014,8.0000,,2.0000,,1,,2,,3,,01012013,12312014,3.5000,
HALIFAX HEALTH MEDICAL CENTER,100017,FL,2016,1.0000,,07012012,06302014,1.0000,,7.3333,,10,,9,,3,,01012013,12312014,5.7500,
NAPLES COMMUNITY HOSPITAL,100018,FL,2016,2.0000,,07012012,06302014,2.0000,,3.3333,,2,,4,,4,,01012013,12312014,3.0000,
HOLMES REGIONAL MEDICAL CENTER,100019,FL,2016,8.0000,,07012012,06302014,8.0000,,4.6667,,4,,6,,4,,01012013,12312014,5.5000,
JACKSON HEALTH SYSTEM,100022,FL,2016,10.0000,,07012012,06302014,10.0000,,6.6667,,8,,7,,5,,01012013,12312014,7.5000,
CITRUS MEMORIAL HOSPITAL,100023,FL,2016,1.0000,,07012012,06302014,1.0000,,8.6667,,7,,9,,10,,01012013,12312014,6.7500,
SACRED HEART HOSPITAL,100025,FL,2016,7.0000,,07012012,06302014,7.0000,,8.6667,,9,,10,,7,,01012013,12312014,8.2500,
BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM,100026,FL,2016,2.0000,,07012012,06302014,2.0000,,3.6667,,5,,4,,2,,01012013,12312014,3.2500,
PARRISH MEDICAL CENTER,100028,FL,2016,1.0000,,07012012,06302014,1.0000,,1.3333,,1,,1,,2,,01012013,12312014,1.2500,
NORTH SHORE MEDICAL CENTER,100029,FL,2016,1.0000,,07012012,06302014,1.0000,,7.3333,,9,,10,,3,,01012013,12312014,5.7500,
HEALTH CENTRAL,100030,FL,2016,4.0000,,07012012,06302014,4.0000,,5.0000,,3,,9,,3,,01012013,12312014,4.7500,
BAYFRONT HEALTH - ST PETERSBURG,100032,FL,2016,10.0000,,07012012,06302014,10.0000,,5.0000,,5,,5,,5,,01012013,12312014,6.2500,
MOUNT SINAI MEDICAL CENTER,100034,FL,2016,7.0000,,07012012,06302014,7.0000,,6.3333,,8,,3,,8,,01012013,12312014,6.5000,
MANATEE MEMORIAL HOSPITAL,100035,FL,2016,7.0000,,07012012,06302014,7.0000,,7.6667,,9,,10,,4,,01012013,12312014,7.5000,
MEMORIAL REGIONAL HOSPITAL,100038,FL,2016,9.0000,,07012012,06302014,9.0000,,4.3333,,5,,4,,4,,01012013,12312014,5.5000,
BROWARD HEALTH MEDICAL CENTER,100039,FL,2016,9.0000,,07012012,06302014,9.0000,,5.3333,,7,,5,,4,,01012013,12312014,6.2500,
ST VINCENT'S MEDICAL CENTER,100040,FL,2016,2.0000,,07012012,06302014,2.0000,,6.3333,,5,,8,,6,,01012013,12312014,5.2500,
MEASE DUNEDIN HOSPITAL,100043,FL,2016,2.0000,,07012012,06302014,2.0000,,5.0000,,7,,4,,4,,01012013,12312014,4.2500,
MARTIN MEDICAL CENTER,100044,FL,2016,7.0000,,07012012,06302014,7.0000,,4.3333,,6,,3,,4,,01012013,12312014,5.0000,
FLORIDA HOSPITAL DELAND,100045,FL,2016,4.0000,,07012012,06302014,4.0000,,5.6667,,3,,7,,7,,01012013,12312014,5.2500,
FLORIDA HOSPITAL ZEPHYRHILLS,100046,FL,2016,4.0000,,07012012,06302014,4.0000,,3.0000,,5,,3,,1,,01012013,12312014,3.2500,
BAYFRONT HEALTH PUNTA GORDA,100047,FL,2016,3.0000,,07012012,06302014,3.0000,,2.0000,,4,,1,,1,,01012013,12312014,2.2500,
JAY HOSPITAL,100048,FL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
HIGHLANDS REGIONAL MEDICAL CENTER,100049,FL,2016,10.0000,,07012012,06302014,10.0000,,8.0000,,9,,5,,10,,01012013,12312014,8.5000,
PALM SPRINGS GENERAL HOSPITAL,100050,FL,2016,1.0000,,07012012,06302014,1.0000,,5.3333,,10,,5,,1,,01012013,12312014,4.2500,
SOUTH LAKE HOSPITAL,100051,FL,2016,10.0000,,07012012,06302014,10.0000,,8.3333,,8,,9,,8,,01012013,12312014,8.7500,
WINTER HAVEN HOSPITAL,100052,FL,2016,4.0000,,07012012,06302014,4.0000,,7.6667,,7,,7,,9,,01012013,12312014,6.7500,
HIALEAH HOSPITAL,100053,FL,2016,1.0000,,07012012,06302014,1.0000,,5.6667,,9,,6,,2,,01012013,12312014,4.5000,
TWIN CITIES HOSPITAL,100054,FL,2016,1.0000,,07012012,06302014,1.0000,,5.0000,,9,,5,,1,,01012013,12312014,4.0000,
FLORIDA HOSPITAL NORTH PINELLAS,100055,FL,2016,7.0000,,07012012,06302014,7.0000,,1.6667,,1,,1,,3,,01012013,12312014,3.0000,
FLORIDA HOSPITAL WATERMAN,100057,FL,2016,8.0000,,07012012,06302014,8.0000,,3.6667,,4,,5,,2,,01012013,12312014,4.7500,
MUNROE REGIONAL MEDICAL CENTER,100062,FL,2016,2.0000,,07012012,06302014,2.0000,,5.3333,,9,,4,,3,,01012013,12312014,4.5000,
MORTON PLANT NORTH BAY HOSPITAL,100063,FL,2016,8.0000,,07012012,06302014,8.0000,,3.6667,,4,,4,,3,,01012013,12312014,4.7500,
ST ANTHONY'S HOSPITAL,100067,FL,2016,10.0000,,07012012,06302014,10.0000,,6.0000,,7,,4,,7,,01012013,12312014,7.0000,
FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,100068,FL,2016,1.0000,,07012012,06302014,1.0000,,7.3333,,8,,7,,7,,01012013,12312014,5.7500,
FLORIDA HOSPITAL CARROLLWOOD,100069,FL,2016,7.0000,,07012012,06302014,7.0000,,4.3333,,6,,6,,1,,01012013,12312014,5.0000,
VENICE REGIONAL BAYFRONT HEALTH,100070,FL,2016,9.0000,,07012012,06302014,9.0000,,8.3333,,10,,9,,6,,01012013,12312014,8.5000,
BAYFRONT HEALTH BROOKSVILLE,100071,FL,2016,4.0000,,07012012,06302014,4.0000,,6.6667,,10,,6,,4,,01012013,12312014,6.0000,
FLORIDA HOSPITAL FISH MEMORIAL,100072,FL,2016,6.0000,,07012012,06302014,6.0000,,1.6667,,2,,1,,2,,01012013,12312014,2.7500,
HOLY CROSS HOSPITAL INC,100073,FL,2016,6.0000,,07012012,06302014,6.0000,,4.0000,,6,,5,,1,,01012013,12312014,4.5000,
ST JOSEPHS HOSPITAL,100075,FL,2016,7.0000,,07012012,06302014,7.0000,,4.6667,,5,,4,,5,,01012013,12312014,5.2500,
BAYFRONT HEALTH PORT CHARLOTTE,100077,FL,2016,5.0000,,07012012,06302014,5.0000,,4.0000,,6,,2,,4,,01012013,12312014,4.2500,
JFK MEDICAL CENTER,100080,FL,2016,9.0000,,07012012,06302014,9.0000,,6.6667,,9,,5,,6,,01012013,12312014,7.2500,
HEALTHMARK REGIONAL MEDICAL CENTER,100081,FL,2016,4.0000,,07012012,06302014,4.0000,,1.0000,,N/A,,1,,N/A,,01012013,12312014,1.7500,
LEESBURG REGIONAL MEDICAL CENTER,100084,FL,2016,3.0000,,07012012,06302014,3.0000,,5.3333,,3,,8,,5,,01012013,12312014,4.7500,
BROWARD HEALTH NORTH,100086,FL,2016,4.0000,,07012012,06302014,4.0000,,4.3333,,6,,4,,3,,01012013,12312014,4.2500,
SARASOTA MEMORIAL HOSPITAL,100087,FL,2016,1.0000,,07012012,06302014,1.0000,,9.0000,,10,,10,,7,,01012013,12312014,7.0000,
BAPTIST MEDICAL CENTER,100088,FL,2016,4.0000,,07012012,06302014,4.0000,,7.0000,,5,,9,,7,,01012013,12312014,6.2500,
FLAGLER HOSPITAL,100090,FL,2016,5.0000,,07012012,06302014,5.0000,,3.6667,,5,,2,,4,,01012013,12312014,4.0000,
WUESTHOFF MEDICAL CENTER  ROCKLEDGE,100092,FL,2016,1.0000,,07012012,06302014,1.0000,,7.0000,,10,,6,,5,,01012013,12312014,5.5000,
BAPTIST HOSPITAL,100093,FL,2016,9.0000,,07012012,06302014,9.0000,,7.6667,,8,,9,,6,,01012013,12312014,8.0000,
LAKE WALES MEDICAL CENTER,100099,FL,2016,3.0000,,07012012,06302014,3.0000,,3.3333,,1,,1,,8,,01012013,12312014,3.2500,
SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,100102,FL,2016,2.0000,,07012012,06302014,2.0000,,1.0000,,N/A,,1,,1,,01012013,12312014,1.2500,
INDIAN RIVER MEMORIAL HOSPITAL INC,100105,FL,2016,6.0000,,07012012,06302014,6.0000,,4.6667,,5,,6,,3,,01012013,12312014,5.0000,
DOCTOR'S MEMORIAL HOSPITAL INC,100106,FL,2016,5.0000,,07012012,06302014,5.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,5.0000,
LEHIGH REGIONAL MEDICAL CENTER,100107,FL,2016,5.0000,,07012012,06302014,5.0000,,6.6667,,9,,4,,7,,01012013,12312014,6.2500,
FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,100109,FL,2016,4.0000,,07012012,06302014,4.0000,,5.0000,,4,,7,,4,,01012013,12312014,4.7500,
OSCEOLA REGIONAL MEDICAL CENTER,100110,FL,2016,3.0000,,07012012,06302014,3.0000,,4.6667,,7,,3,,4,,01012013,12312014,4.2500,
UF HEALTH SHANDS HOSPITAL,100113,FL,2016,5.0000,,07012012,06302014,5.0000,,6.3333,,5,,6,,8,,01012013,12312014,6.0000,
BAPTIST MEDICAL CENTER  BEACHES,100117,FL,2016,2.0000,,07012012,06302014,2.0000,,4.6667,,3,,6,,5,,01012013,12312014,4.0000,
FLORIDA HOSPITAL FLAGLER,100118,FL,2016,6.0000,,07012012,06302014,6.0000,,7.0000,,9,,9,,3,,01012013,12312014,6.7500,
BARTOW REGIONAL MEDICAL CENTER,100121,FL,2016,4.0000,,07012012,06302014,4.0000,,5.3333,,9,,6,,1,,01012013,12312014,5.0000,
NORTH OKALOOSA MEDICAL CENTER,100122,FL,2016,4.0000,,07012012,06302014,4.0000,,3.0000,,1,,6,,2,,01012013,12312014,3.2500,
SANTA ROSA MEDICAL CENTER,100124,FL,2016,4.0000,,07012012,06302014,4.0000,,2.6667,,1,,2,,5,,01012013,12312014,3.0000,
HOMESTEAD HOSPITAL,100125,FL,2016,2.0000,,07012012,06302014,2.0000,,5.3333,,6,,4,,6,,01012013,12312014,4.5000,
PALMS OF PASADENA HOSPITAL,100126,FL,2016,9.0000,,07012012,06302014,9.0000,,4.6667,,7,,2,,5,,01012013,12312014,5.7500,
MORTON PLANT HOSPITAL,100127,FL,2016,8.0000,,07012012,06302014,8.0000,,5.6667,,4,,6,,7,,01012013,12312014,6.2500,
TAMPA GENERAL HOSPITAL,100128,FL,2016,10.0000,,07012012,06302014,10.0000,,8.0000,,7,,8,,9,,01012013,12312014,8.5000,
LAKESIDE MEDICAL CENTER,100130,FL,2016,6.0000,,07012012,06302014,6.0000,,4.5000,,6,,3,,N/A,,01012013,12312014,4.8750,
AVENTURA HOSPITAL AND MEDICAL CENTER,100131,FL,2016,1.0000,,07012012,06302014,1.0000,,2.6667,,2,,2,,4,,01012013,12312014,2.2500,
SOUTH FLORIDA BAPTIST HOSPITAL,100132,FL,2016,2.0000,,07012012,06302014,2.0000,,3.0000,,4,,3,,2,,01012013,12312014,2.7500,
ED FRASER MEMORIAL HOSPITAL,100134,FL,2016,7.0000,,07012012,06302014,7.0000,,10.0000,18,10,18,10,18,10,18,01012013,12312014,9.2500,
TALLAHASSEE MEMORIAL HEALTHCARE,100135,FL,2016,1.0000,,07012012,06302014,1.0000,,6.0000,,5,,7,,6,,01012013,12312014,4.7500,
HEART OF FLORIDA REGIONAL MEDICAL CENTER,100137,FL,2016,9.0000,,07012012,06302014,9.0000,,6.6667,,10,,3,,7,,01012013,12312014,7.2500,
BAPTIST MEDICAL CENTER  NASSAU,100140,FL,2016,4.0000,,07012012,06302014,4.0000,,3.0000,,1,,6,,2,,01012013,12312014,3.2500,
JACKSON HOSPITAL,100142,FL,2016,6.0000,,07012012,06302014,6.0000,,6.3333,,10,,3,,6,,01012013,12312014,6.2500,
LOWER KEYS MEDICAL CENTER,100150,FL,2016,6.0000,,07012012,06302014,6.0000,,7.3333,,8,,10,,4,,01012013,12312014,7.0000,
MAYO CLINIC FLORIDA,100151,FL,2016,5.0000,,07012012,06302014,5.0000,,6.6667,,9,,7,,4,,01012013,12312014,6.2500,
SOUTH MIAMI HOSPITAL,100154,FL,2016,5.0000,,07012012,06302014,5.0000,,5.6667,,5,,10,,2,,01012013,12312014,5.5000,
LAKE CITY MEDICAL CENTER,100156,FL,2016,5.0000,,07012012,06302014,5.0000,,2.0000,,N/A,,1,,3,,01012013,12312014,2.7500,
LAKELAND REGIONAL MEDICAL CENTER,100157,FL,2016,1.0000,,07012012,06302014,1.0000,,6.3333,,8,,6,,5,,01012013,12312014,5.0000,
CENTRAL FLORIDA REGIONAL HOSPITAL,100161,FL,2016,2.0000,,07012012,06302014,2.0000,,7.6667,,10,,8,,5,,01012013,12312014,6.2500,
DOCTORS HOSPITAL OF SARASOTA,100166,FL,2016,1.0000,,07012012,06302014,1.0000,,3.0000,,3,,3,,3,,01012013,12312014,2.5000,
PLANTATION GENERAL HOSPITAL,100167,FL,2016,3.0000,,07012012,06302014,3.0000,,7.6667,,9,,9,,5,,01012013,12312014,6.5000,
BOCA RATON REGIONAL HOSPITAL,100168,FL,2016,9.0000,,07012012,06302014,9.0000,,4.0000,,5,,3,,4,,01012013,12312014,5.2500,
FLORIDA HOSPITAL TAMPA,100173,FL,2016,9.0000,,07012012,06302014,9.0000,,7.6667,,7,,6,,10,,01012013,12312014,8.0000,
DESOTO MEMORIAL HOSPITAL,100175,FL,2016,3.0000,,07012012,06302014,3.0000,,2.0000,,1,,3,,N/A,,01012013,12312014,2.2500,
PALM BEACH GARDENS MEDICAL CENTER,100176,FL,2016,2.0000,,07012012,06302014,2.0000,,3.3333,,7,,2,,1,,01012013,12312014,3.0000,
CAPE CANAVERAL HOSPITAL,100177,FL,2016,5.0000,,07012012,06302014,5.0000,,4.0000,,5,,6,,1,,01012013,12312014,4.2500,
MEMORIAL HOSPITAL JACKSONVILLE,100179,FL,2016,3.0000,,07012012,06302014,3.0000,,8.6667,,8,,10,,8,,01012013,12312014,7.2500,
ST PETERSBURG GENERAL HOSPITAL,100180,FL,2016,2.0000,,07012012,06302014,2.0000,,9.0000,,10,,10,,7,,01012013,12312014,7.2500,
LARKIN COMMUNITY HOSPITAL,100181,FL,2016,3.0000,,07012012,06302014,3.0000,,4.5000,,8,,1,,N/A,,01012013,12312014,4.1250,
CORAL GABLES HOSPITAL,100183,FL,2016,2.0000,,07012012,06302014,2.0000,,5.0000,,10,,3,,2,,01012013,12312014,4.2500,
PALMETTO GENERAL HOSPITAL,100187,FL,2016,3.0000,,07012012,06302014,3.0000,,6.6667,,7,,7,,6,,01012013,12312014,5.7500,
NORTHWEST MEDICAL CENTER,100189,FL,2016,1.0000,,07012012,06302014,1.0000,,7.3333,,9,,10,,3,,01012013,12312014,5.7500,
MEDICAL CENTER OF TRINITY,100191,FL,2016,6.0000,,07012012,06302014,6.0000,,5.0000,,5,,4,,6,,01012013,12312014,5.2500,
BROWARD HEALTH IMPERIAL POINT,100200,FL,2016,3.0000,,07012012,06302014,3.0000,,6.6667,,7,,7,,6,,01012013,12312014,5.7500,
NORTH FLORIDA REGIONAL MEDICAL CENTER,100204,FL,2016,2.0000,,07012012,06302014,2.0000,,9.0000,,10,,10,,7,,01012013,12312014,7.2500,
MEMORIAL HOSPITAL OF TAMPA,100206,FL,2016,7.0000,,07012012,06302014,7.0000,,3.3333,,5,,3,,2,,01012013,12312014,4.2500,
KENDALL REGIONAL MEDICAL CENTER,100209,FL,2016,3.0000,,07012012,06302014,3.0000,,4.3333,,5,,7,,1,,01012013,12312014,4.0000,
BAYFRONT HEALTH DADE CITY,100211,FL,2016,9.0000,,07012012,06302014,9.0000,,5.3333,,8,,5,,3,,01012013,12312014,6.2500,
MARION COMMUNTIY HOSPITAL,100212,FL,2016,3.0000,,07012012,06302014,3.0000,,6.0000,,8,,3,,7,,01012013,12312014,5.2500,
BLAKE MEDICAL CENTER,100213,FL,2016,6.0000,,07012012,06302014,6.0000,,5.0000,,6,,6,,3,,01012013,12312014,5.2500,
SEBASTIAN RIVER MEDICAL CENTER,100217,FL,2016,3.0000,,07012012,06302014,3.0000,,2.6667,,3,,4,,1,,01012013,12312014,2.7500,
GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,100220,FL,2016,10.0000,,07012012,06302014,10.0000,,9.0000,,8,,10,,9,,01012013,12312014,9.2500,
FORT WALTON BEACH MEDICAL CENTER,100223,FL,2016,1.0000,,07012012,06302014,1.0000,,2.6667,,4,,1,,3,,01012013,12312014,2.2500,
UNIVERSITY HOSPITAL AND MEDICAL CENTER,100224,FL,2016,2.0000,,07012012,06302014,2.0000,,1.3333,,1,,2,,1,,01012013,12312014,1.5000,
ORANGE PARK MEDICAL CENTER,100226,FL,2016,2.0000,,07012012,06302014,2.0000,,2.6667,,3,,3,,2,,01012013,12312014,2.5000,
WESTSIDE REGIONAL MEDICAL CENTER,100228,FL,2016,6.0000,,07012012,06302014,6.0000,,8.0000,,8,,6,,10,,01012013,12312014,7.5000,
MEMORIAL HOSPITAL PEMBROKE,100230,FL,2016,5.0000,,07012012,06302014,5.0000,,6.6667,,7,,4,,9,,01012013,12312014,6.2500,
WEST FLORIDA HOSPITAL,100231,FL,2016,2.0000,,07012012,06302014,2.0000,,7.3333,,7,,6,,9,,01012013,12312014,6.0000,
PUTNAM COMMUNITY MEDICAL CENTER,100232,FL,2016,5.0000,,07012012,06302014,5.0000,,8.3333,,8,,10,,7,,01012013,12312014,7.5000,
WEST PALM HOSPITAL,100234,FL,2016,4.0000,,07012012,06302014,4.0000,,7.3333,,4,,8,,10,,01012013,12312014,6.5000,
FAWCETT MEMORIAL HOSPITAL,100236,FL,2016,2.0000,,07012012,06302014,2.0000,,5.3333,,7,,3,,6,,01012013,12312014,4.5000,
NORTHSIDE HOSPITAL,100238,FL,2016,2.0000,,07012012,06302014,2.0000,,5.0000,,5,,7,,3,,01012013,12312014,4.2500,
ANNE BATES LEACH EYE HOSPITAL,100240,FL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
GULF COAST REGIONAL MEDICAL CENTER,100242,FL,2016,1.0000,,07012012,06302014,1.0000,,2.0000,,3,,2,,1,,01012013,12312014,1.7500,
BRANDON REGIONAL HOSPITAL,100243,FL,2016,2.0000,,07012012,06302014,2.0000,,6.6667,,10,,7,,3,,01012013,12312014,5.5000,
CAPE CORAL HOSPITAL - 100244,100244,FL,2016,9.0000,,07012012,06302014,9.0000,,5.6667,,5,,8,,4,,01012013,12312014,6.5000,
LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,100246,FL,2016,2.0000,,07012012,06302014,2.0000,,3.0000,,4,,3,,2,,01012013,12312014,2.7500,
LARGO MEDICAL CENTER,100248,FL,2016,9.0000,,07012012,06302014,9.0000,,1.3333,,1,,1,,2,,01012013,12312014,3.2500,
SEVEN RIVERS REGIONAL MEDICAL CENTER,100249,FL,2016,9.0000,,07012012,06302014,9.0000,,3.3333,,4,,4,,2,,01012013,12312014,4.7500,
RAULERSON HOSPITAL,100252,FL,2016,2.0000,,07012012,06302014,2.0000,,4.6667,,4,,5,,5,,01012013,12312014,4.0000,
JUPITER MEDICAL CENTER,100253,FL,2016,8.0000,,07012012,06302014,8.0000,,3.0000,,6,,2,,1,,01012013,12312014,4.2500,
CAPITAL REGIONAL MEDICAL CENTER,100254,FL,2016,5.0000,,07012012,06302014,5.0000,,7.3333,,10,,10,,2,,01012013,12312014,6.7500,
TAMPA COMMUNITY HOSPITAL,100255,FL,2016,10.0000,,07012012,06302014,10.0000,,6.0000,,5,,3,,10,,01012013,12312014,7.0000,
REGIONAL MEDICAL CENTER BAYONET POINT,100256,FL,2016,2.0000,,07012012,06302014,2.0000,,7.6667,,9,,8,,6,,01012013,12312014,6.2500,
DELRAY MEDICAL CENTER,100258,FL,2016,1.0000,,07012012,06302014,1.0000,,3.0000,,3,,3,,3,,01012013,12312014,2.5000,
SOUTH BAY HOSPITAL,100259,FL,2016,9.0000,,07012012,06302014,9.0000,,6.0000,,6,,2,,10,,01012013,12312014,6.7500,
ST LUCIE MEDICAL CENTER,100260,FL,2016,5.0000,,07012012,06302014,5.0000,,1.6667,,1,,1,,3,,01012013,12312014,2.5000,
OAK HILL HOSPITAL,100264,FL,2016,1.0000,,07012012,06302014,1.0000,,3.6667,,3,,4,,4,,01012013,12312014,3.0000,
MORTON PLANT MEASE HEALTHCARE COUNTRYSIDE,100265,FL,2016,5.0000,,07012012,06302014,5.0000,,4.0000,,4,,4,,4,,01012013,12312014,4.2500,
GULF BREEZE HOSPITAL,100266,FL,2016,3.0000,,07012012,06302014,3.0000,,3.3333,,1,,8,,1,,01012013,12312014,3.2500,
ENGLEWOOD COMMUNITY HOSPITAL,100267,FL,2016,3.0000,,07012012,06302014,3.0000,,3.3333,,8,,1,,1,,01012013,12312014,3.2500,
WEST BOCA MEDICAL CENTER,100268,FL,2016,3.0000,,07012012,06302014,3.0000,,6.0000,,5,,5,,8,,01012013,12312014,5.2500,
PALMS WEST HOSPITAL,100269,FL,2016,3.0000,,07012012,06302014,3.0000,,5.0000,,9,,3,,3,,01012013,12312014,4.5000,
WELLINGTON REGIONAL MEDICAL CENTER,100275,FL,2016,6.0000,,07012012,06302014,6.0000,,5.6667,,7,,8,,2,,01012013,12312014,5.7500,
