"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"ID","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","75","","01/01/2015","12/31/2015"
"IL","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","90","","01/01/2015","12/31/2015"
"IN","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","78","","01/01/2015","12/31/2015"
"KS","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","55","","01/01/2015","12/31/2015"
"KY","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","79","","01/01/2015","12/31/2015"
"LA","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","86","","01/01/2015","12/31/2015"
"MA","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","132","","01/01/2015","12/31/2015"
"MD","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","140","","01/01/2015","12/31/2015"
"ME","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","111","","01/01/2015","12/31/2015"
"MI","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","101","","01/01/2015","12/31/2015"
"MN","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","67","","01/01/2015","12/31/2015"
"MO","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","79","","01/01/2015","12/31/2015"
"MP","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","Not Available","5 - Results are not available for this reporting period.","01/01/2015","12/31/2015"
"MS","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","64","","01/01/2015","12/31/2015"
"MT","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","84","","01/01/2015","12/31/2015"
"NC","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","97","","01/01/2015","12/31/2015"
"ND","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","74","","01/01/2015","12/31/2015"
"NE","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","74","","01/01/2015","12/31/2015"
"NH","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","107","","01/01/2015","12/31/2015"
"NJ","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","154","","01/01/2015","12/31/2015"
"NM","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","99","","01/01/2015","12/31/2015"
"NV","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","151","","01/01/2015","12/31/2015"
"NY","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","160","","01/01/2015","12/31/2015"
"OH","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","88","","01/01/2015","12/31/2015"
"OK","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","64","","01/01/2015","12/31/2015"
"OR","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","82","","01/01/2015","12/31/2015"
"PA","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","102","","01/01/2015","12/31/2015"
"PR","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","180","","01/01/2015","12/31/2015"
"RI","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","123","","01/01/2015","12/31/2015"
"SC","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","93","","01/01/2015","12/31/2015"
"SD","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","46","","01/01/2015","12/31/2015"
"TN","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","82","","01/01/2015","12/31/2015"
"TX","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","100","","01/01/2015","12/31/2015"
"UT","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","61","","01/01/2015","12/31/2015"
"VA","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","92","","01/01/2015","12/31/2015"
"VI","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","142","","01/01/2015","12/31/2015"
"VT","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","128","","01/01/2015","12/31/2015"
"WA","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","107","","01/01/2015","12/31/2015"
"WI","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","59","","01/01/2015","12/31/2015"
"WV","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","76","","01/01/2015","12/31/2015"
"WY","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","66","","01/01/2015","12/31/2015"
"AK","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","106","","01/01/2015","12/31/2015"
"AL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","60","","01/01/2015","12/31/2015"
"AR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","55","","01/01/2015","12/31/2015"
"AZ","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","70","","01/01/2015","12/31/2015"
"CA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","95","","01/01/2015","12/31/2015"
"CO","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","63","","01/01/2015","12/31/2015"
"CT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","156","","01/01/2015","12/31/2015"
"DC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"DE","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"FL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","77","","01/01/2015","12/31/2015"
"GA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","55","","01/01/2015","12/31/2015"
"HI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","103","","01/01/2015","12/31/2015"
"IA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","42","","01/01/2015","12/31/2015"
"ID","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","72","","01/01/2015","12/31/2015"
"IL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","68","","01/01/2015","12/31/2015"
"IN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","64","","01/01/2015","12/31/2015"
"KS","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","51","","01/01/2015","12/31/2015"
"KY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","58","","01/01/2015","12/31/2015"
"LA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","50","","01/01/2015","12/31/2015"
"MA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","80","","01/01/2015","12/31/2015"
"MD","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","76","","01/01/2015","12/31/2015"
"ME","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","112","","01/01/2015","12/31/2015"
"MI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","60","","01/01/2015","12/31/2015"
"MN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","47","","01/01/2015","12/31/2015"
"MO","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","56","","01/01/2015","12/31/2015"
"MS","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","46","","01/01/2015","12/31/2015"
"MT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","35","","01/01/2015","12/31/2015"
"NC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","81","","01/01/2015","12/31/2015"
"ND","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"NE","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","60","","01/01/2015","12/31/2015"
"NH","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","75","","01/01/2015","12/31/2015"
"NJ","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","102","","01/01/2015","12/31/2015"
"NM","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","72","","01/01/2015","12/31/2015"
"NV","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","89","","01/01/2015","12/31/2015"
"NY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","82","","01/01/2015","12/31/2015"
"OH","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","54","","01/01/2015","12/31/2015"
"OK","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","50","","01/01/2015","12/31/2015"
"OR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","57","","01/01/2015","12/31/2015"
"PA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","64","","01/01/2015","12/31/2015"
"PR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"RI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","114","","01/01/2015","12/31/2015"
"SC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","65","","01/01/2015","12/31/2015"
"SD","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","48","","01/01/2015","12/31/2015"
"TN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","54","","01/01/2015","12/31/2015"
"TX","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","58","","01/01/2015","12/31/2015"
"UT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","45","","01/01/2015","12/31/2015"
"VA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","55","","01/01/2015","12/31/2015"
"VI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"VT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","119","","01/01/2015","12/31/2015"
"WA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","82","","01/01/2015","12/31/2015"
"WI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","59","","01/01/2015","12/31/2015"
"WV","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","59","","01/01/2015","12/31/2015"
"WY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","48","","01/01/2015","12/31/2015"
"AK","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","95","","01/01/2015","12/31/2015"
"AL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","80","","01/01/2015","12/31/2015"
"AR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","63","","01/01/2015","12/31/2015"
"AZ","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","91","","01/01/2015","12/31/2015"
"CA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","117","","01/01/2015","12/31/2015"
"CO","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","79","","01/01/2015","12/31/2015"
"CT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","128","","01/01/2015","12/31/2015"
"DC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","181.5","","01/01/2015","12/31/2015"
"DE","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","185","","01/01/2015","12/31/2015"
"FL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","114","","01/01/2015","12/31/2015"
"GA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","74","","01/01/2015","12/31/2015"
"HI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","100","","01/01/2015","12/31/2015"
"IA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","66.5","","01/01/2015","12/31/2015"
"ID","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","84","","01/01/2015","12/31/2015"
"IL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","87.5","","01/01/2015","12/31/2015"
"IN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","67","","01/01/2015","12/31/2015"
"KS","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","78.5","","01/01/2015","12/31/2015"
"KY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","83","","01/01/2015","12/31/2015"
"LA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","84","","01/01/2015","12/31/2015"
"MA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","112.5","","01/01/2015","12/31/2015"
"MD","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","146","","01/01/2015","12/31/2015"
"ME","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","128.5","","01/01/2015","12/31/2015"
"MI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","100","","01/01/2015","12/31/2015"
"MN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","74","","01/01/2015","12/31/2015"
"MO","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","73.5","","01/01/2015","12/31/2015"
"MS","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","63","","01/01/2015","12/31/2015"
"MT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","110","","01/01/2015","12/31/2015"
"NC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","79","","01/01/2015","12/31/2015"
"ND","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","85","","01/01/2015","12/31/2015"
"NE","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","79","","01/01/2015","12/31/2015"
"NH","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","127","","01/01/2015","12/31/2015"
"NJ","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","139","","01/01/2015","12/31/2015"
"NM","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","90","","01/01/2015","12/31/2015"
"NV","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","103","","01/01/2015","12/31/2015"
"NY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","170","","01/01/2015","12/31/2015"
"OH","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","79","","01/01/2015","12/31/2015"
"OK","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","66","","01/01/2015","12/31/2015"
"OR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","74","","01/01/2015","12/31/2015"
"PA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","101","","01/01/2015","12/31/2015"
